"X","time","month","Mslp","P5_f","P5_u","P5_v","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8th","P8zh","P500","P850","P_f","P_u","P_v","P_z","P_th","P_zh","R500","R850","Rhum","Shum","Temp","rainfall","clazz"
4287,"1987-06-24",6,-2.048,0.069,0.115,-2.195,-0.658,115.98,2.109,2.168,2.408,-1.177,0.247,109,0.973,0.353,-2.35,-0.631,1.492,-0.609,0.101,128.93,1.123,0.349,0.537,0.157,1.162,0.976,6.102,1
4288,"1987-06-25",6,-1.535,0.126,-0.045,-3.36,-0.35,133.66,3.466,1.35,1.523,-1.694,0.195,128.15,1.815,0.421,-1.907,-0.626,0.654,-0.997,-0.326,195.86,1.363,-0.78,0.984,-0.374,0.466,0.641,9.84,1
4289,"1987-06-26",6,-0.97,-0.778,-0.663,-1.884,-0.217,141.72,1.656,0.204,0.575,-1.325,0.764,141.67,1.394,0.996,-1.128,-0.87,0.552,-0.701,-0.827,209.17,0.703,-1.258,-0.253,-0.72,0.26,0.561,2.531,1
4290,"1987-06-27",6,-0.808,-1.06,-0.87,-1.418,0.091,153.24,1.204,-0.614,0.259,-0.66,0.867,136.13,0.552,1.054,-0.793,-1.399,0.582,-0.053,-0.605,250.4,0.103,0.189,-0.528,-1.459,0.023,0.601,20.525,1
4292,"1987-06-29",6,-1.247,-1.144,-0.732,-0.331,-0.217,89.48,0.299,-0.696,0.385,-0.07,0.092,82.36,0.131,0.713,-1.159,-1.369,0.696,0.371,0.07,340.61,-0.317,1.111,0.993,-0.143,1.05,0.982,2.32,1
4293,"1987-06-30",6,-1.198,-1.37,-0.984,-0.021,-0.394,35.95,-0.153,-0.941,0.006,-0.144,-0.528,110.45,0.131,0.928,-0.899,-1.496,0.704,0.223,0.06,182.49,-0.257,0.597,0.297,0.827,1.338,1.062,21.891,1
4294,"1987-07-01",7,-0.768,-1.173,-0.961,0.6,-0.834,15.51,-0.605,-0.287,0.322,0.742,-1.097,34,-0.711,1.493,-0.075,-1.064,0.948,0.703,0.316,16.54,-0.737,-0.325,0.245,1.058,1.434,1.147,20.702,1
4295,"1987-07-02",7,-0.566,-0.89,-0.641,0.833,0.223,48.55,-1.058,0.286,0.638,1.037,-1.148,39.74,-1.132,1.658,0.322,-0.464,1.531,0.912,-0.39,47.71,-1.007,-0.13,-0.253,0.804,1.494,1.229,30.771,1
4296,"1987-07-03",7,-0.294,-1.116,-0.778,0.367,-0.79,51.94,-0.605,0.041,0.385,0.963,-2.027,34.94,-1.132,1.902,0.826,-0.53,1.515,0.84,-0.726,49.51,-1.037,-0.336,-0.872,0.365,1.489,1.258,2.889,1
4297,"1987-07-04",7,-0.32,-1.201,-1.007,0.445,-1.274,183.34,-0.605,0.532,0.891,1.111,-1.458,46.3,-1.132,1.892,0.704,-0.367,1.698,0.789,-0.77,57.23,-0.887,-0.466,-1.688,-0.374,1.35,1.283,3.687,1
4298,"1987-07-05",7,-0.371,-1.173,-1.007,0.6,-1.054,13.68,-0.605,-0.123,0.638,0.447,-1.2,58.34,-0.711,1.921,0.582,-0.52,1.683,0.483,-1.116,68.7,-0.707,-0.951,-1.473,0.296,1.351,1.248,6.048,1
4299,"1987-07-06",7,-0.607,-1.173,-0.847,0.367,-1.054,40.83,-0.605,-0.041,0.638,0.594,-0.89,51.12,-0.711,1.756,0.139,-0.448,1.702,0.606,-1.019,64.29,-0.827,-1.453,-1.671,-0.974,1.149,1.29,1.075,1
4300,"1987-07-07",7,-0.74,-1.116,-0.755,0.212,-1.054,60.57,-0.153,-0.287,0.575,0.373,-0.735,61.56,-0.29,1.551,0.108,-0.743,1.473,0.534,0.104,61.03,-0.497,-1.654,-1.99,-0.882,1.458,1.331,2.852,1
4301,"1987-07-08",7,-0.586,-1.116,-0.732,-0.021,-0.658,74.4,-0.153,-0.696,0.196,0.299,-0.528,52.49,-0.29,1.405,0.215,-1.226,1.172,0.279,-0.602,62.69,-0.317,-1.099,-1.319,-0.328,1.305,1.289,15.991,1
4302,"1987-07-09",7,-0.509,-1.201,-0.801,-0.564,-0.702,102.68,0.752,-1.105,-0.057,0.078,-0.993,60.57,0.131,1.434,0.292,-1.175,1.146,0.396,-0.904,45.72,-0.197,-0.579,-1.224,-0.259,1.32,1.25,0.593,1
4306,"1987-07-13",7,-2.754,0.182,-2.312,-1.651,2.557,252.98,1.204,2.496,-2.901,-1.251,3.296,250.32,0.973,-0.261,-3.388,1.804,-1.426,-1.258,2.877,245.13,1.243,1.064,-0.116,0.319,1.688,1.18,9.89,1
4307,"1987-07-14",7,-3.091,-0.382,-0.412,-1.186,6.697,104.71,0.752,2.086,1.839,-0.956,8.05,102.49,0.552,-0.777,-3.862,1.804,2.517,-1.666,7.885,116.27,0.853,1.17,1.354,1.358,1.655,1.198,150.766,2
4308,"1987-07-15",7,-1.648,-0.834,-0.549,0.445,0.399,67.02,-0.605,1.596,1.902,1.037,0.092,64.21,-0.711,0.421,-1.586,0.085,1.885,1.167,0.897,55.13,-1.007,0.804,-0.175,0.688,1.601,1.295,4.764,1
4309,"1987-07-16",7,-1.064,-1.173,-0.87,0.445,0.531,34.46,-1.058,0.368,0.449,1.332,0.505,27.89,-1.553,0.84,-0.808,-0.474,1.203,1.193,0.406,25.41,-1.187,0.449,-0.794,0.273,1.289,1.201,43.254,1
4310,"1987-07-17",7,-0.633,-1.314,-1.03,0.212,-0.261,178.09,-0.605,0.286,0.133,1.406,-0.89,12.64,-1.553,1.385,0.001,-0.372,1.192,1.32,-0.636,21.48,-1.367,0.585,-0.442,0.088,1.412,1.277,15.762,1
4311,"1987-07-18",7,-0.651,-1.427,-1.03,-0.176,-0.526,170.53,0.299,-0.45,-0.12,0.668,-1.355,181.23,-0.711,1.434,0.017,-0.916,1.001,0.779,-1.13,195.87,-0.737,0.68,-0.614,-0.005,1.317,1.284,43.273,1
4312,"1987-07-19",7,-1.04,-1.144,-1.328,-0.176,-1.627,276.64,0.299,-0.123,-0.815,0.594,-2.027,324.12,-0.29,1.064,-0.67,-0.886,0.708,0.743,-1.714,171.52,-0.587,0.124,-0.941,-0.697,1.254,1.278,0.74,1
4314,"1987-07-21",7,-1.61,-0.382,-1.328,2.541,2.293,338.76,-2.415,1.186,0.259,2.144,3.347,14.84,-1.975,0.84,-1.586,0.543,0.925,2.336,2.618,4.83,-2.267,-0.319,0.856,0.711,1.56,1.25,1.849,1
4315,"1987-07-22",7,-0.821,-0.693,-0.801,1.843,0.179,19.5,-1.962,1.432,1.144,1.923,0.505,37.1,-1.975,1.6,-0.182,0.319,1.637,1.764,0.46,34.59,-1.997,-0.159,-0.236,0.411,1.532,1.345,7.778,1
4316,"1987-07-23",7,-0.412,-1.201,-0.984,0.29,-1.01,155.61,-0.605,0.777,0.701,1.554,-0.166,31.21,-1.553,1.648,0.383,-0.22,1.313,1.402,0.215,27.06,-1.547,-0.201,-0.116,-0.328,1.258,1.25,7.784,1
4317,"1987-07-24",7,-0.291,-1.173,-0.892,0.367,-0.085,50.39,-0.153,0.368,0.196,1.332,-1.458,26.31,-1.132,1.259,0.551,-0.423,1.024,1.295,-0.965,191.54,-1.307,0.106,-0.7,-0.582,1.155,1.242,19.205,1
4318,"1987-07-25",7,-0.599,-1.003,-1.328,0.6,-0.261,316.6,-0.605,0.859,-1.51,1.185,-0.89,312.55,-1.132,1.074,0.124,-0.209,0.003,1.131,-0.289,315.27,-1.157,0.686,-1.267,-0.605,1.317,1.233,2.574,1
4319,"1987-07-26",7,-1.146,0.041,-1.923,2.619,2.293,313.32,-2.867,2.741,-2.206,2.809,2.934,320.02,-2.817,0.635,-0.899,1.951,-0.782,3.02,2.245,322.63,-2.687,0.869,-0.364,0.249,1.356,1.172,6.52,1
4320,"1987-07-27",7,-1.167,0.069,-0.847,3.939,2.954,8.94,-3.772,3.314,0.638,3.989,2.469,13.71,-3.659,0.635,-0.854,2.211,1.424,3.873,2.769,13.06,-3.557,1.276,0.52,-0.189,1.307,1.25,136.537,2
4321,"1987-07-28",7,-0.75,-0.919,-0.824,1.066,-1.23,18.7,-1.51,1.923,1.333,2.292,-1.717,34.98,-2.396,1.142,-0.105,0.629,1.698,2.06,-0.205,28.93,-2.267,1.247,-0.236,-0.559,1.33,1.279,5.353,1
4322,"1987-07-29",7,-0.808,-1.032,-0.755,0.6,0.135,45.88,-0.605,1.268,1.397,1.406,-0.787,51.21,-1.553,1.025,-0.121,0.08,1.984,0.983,0.349,58.88,-1.397,1.288,-0.494,-0.143,1.462,1.325,0.988,1
4323,"1987-07-30",7,-0.683,-0.862,-0.618,0.756,-0.085,52.87,-0.605,1.759,1.523,1.997,-0.476,42.77,-1.975,1.259,0.032,0.08,1.813,1.305,-0.256,46.52,-1.487,1.224,-0.657,-0.305,1.424,1.337,0.547,1
4324,"1987-07-31",7,-0.57,-1.229,-0.824,-0.098,-0.261,76.68,-0.153,1.268,1.523,1.259,-0.58,55.41,-1.132,1.376,0.246,0.045,1.999,0.902,-0.131,61.36,-1.217,0.987,-0.941,-0.49,1.387,1.325,0.259,1
4325,"1987-08-01",8,-0.437,-1.427,-0.984,-0.176,-0.658,90,-0.153,0.45,1.081,0.668,-0.373,61.74,-0.711,1.59,0.444,-0.382,1.763,0.575,-0.266,66.78,-0.737,0.579,-1.37,-0.143,1.373,1.259,1.396,1
4326,"1987-08-02",8,-0.259,-1.173,-1.282,0.057,-0.79,296.03,-0.153,-0.123,0.512,0.594,-0.993,48.31,-0.711,1.697,0.689,-0.647,1.572,0.498,-0.8,65.44,-0.677,0.248,-1.473,-0.42,1.162,1.215,1.782,1
4327,"1987-08-03",8,-0.209,-1.06,-1.328,0.367,-0.085,306.54,-0.153,-0.45,0.385,0.447,-0.58,47.92,-0.29,1.853,0.78,-0.84,1.466,0.35,-0.911,70.54,-0.497,-0.26,-1.594,-0.12,1.288,1.218,1.457,1
4328,"1987-08-04",8,-0.604,-1.088,-1.282,0.367,-0.085,308.35,-0.153,-0.696,0.385,0.078,-0.115,70.05,-0.29,1.59,0.154,-0.621,1.611,0.437,-0.615,69.04,-0.467,0,-1.843,0.019,1.327,1.208,6.132,1
4333,"1987-08-09",8,-0.699,-1.314,-0.961,0.057,-0.614,46.6,-0.153,-0.696,0.006,0.447,0.195,21.57,-0.711,0.782,-0.121,-0.982,0.906,0.805,0.561,9.1,-0.707,0.526,-0.7,-0.42,1.116,1.194,22.445,1
4334,"1987-08-10",8,-0.501,-1.144,-0.778,0.29,-0.438,52.38,-0.605,-0.941,-0.373,0.225,0.919,325.22,-0.29,0.908,0.032,-1.292,0.723,0.483,0.608,340.3,-0.497,0.379,-0.124,-0.328,1.064,1.139,16.961,1
4335,"1987-08-11",8,-0.274,-1.342,-0.961,0.057,-0.57,46.6,-0.153,-0.859,-0.626,0.004,0.299,281.64,0.131,1.298,0.429,-1.099,0.414,0.366,0.211,295.95,-0.227,0.792,0.065,-0.212,1.116,1.161,0.605,1
4336,"1987-08-12",8,-0.32,-1.37,-0.938,-0.487,0.135,124.64,0.299,-0.45,-0.752,0.373,0.867,306.82,-0.29,1.424,0.398,-0.723,0.186,0.478,0.988,294.52,-0.437,0.686,-0.098,0.249,1.128,1.108,0.492,1
4337,"1987-08-13",8,-0.532,-1.399,-1.03,-0.642,0.443,182.02,0.752,-0.205,-0.879,0.594,1.384,309.62,-0.711,1.347,0.047,-0.642,0.289,0.856,0.985,315.09,-0.797,0.893,-0.408,0.134,1.261,1.197,0.123,1
4338,"1987-08-14",8,-0.569,-1.314,-1.167,-0.409,0.972,256.99,0.299,-0.123,-0.752,0.816,0.97,327.7,-0.711,1.191,0.017,-0.398,0.46,1.29,0.332,341.39,-1.037,0.993,-0.881,-0.12,1.318,1.276,7.101,1
4339,"1987-08-15",8,-0.442,-1.173,-1.305,-0.098,0.575,280.75,0.299,0.041,-1.005,0.742,0.092,315.97,-0.711,1.298,0.246,-0.596,0.285,0.897,-0.377,326.1,-0.857,1.17,-0.683,-0.397,1.231,1.301,22.156,1
4340,"1987-08-16",8,-0.548,-1.088,-1.373,-0.021,-0.085,285.64,-0.153,-0.123,-0.879,0.668,-1.303,315.6,-0.711,1.181,0.2,-0.936,0.456,0.636,-0.578,329.07,-0.647,0.378,-0.984,-0.905,1.197,1.303,1.833,1
4341,"1987-08-17",8,-0.532,-1.173,-1.305,-0.254,-0.438,273.57,0.299,-0.123,-1.131,0.225,-1.252,290.03,-0.29,1.171,0.2,-0.982,0.308,0.396,-0.656,296.8,-0.347,-0.626,-1.121,-0.951,1.115,1.339,25.547,1
4344,"1987-08-20",8,-0.71,-1.342,-1.167,-0.331,0.443,266.8,-0.153,-0.532,0.006,0.521,0.247,42.19,-0.711,1.239,-0.09,-0.901,0.83,0.825,-0.256,186.38,-0.977,-0.803,-0.803,-0.466,1.407,1.34,2.295,1
4345,"1987-08-21",8,-0.396,-1.314,-1.121,0.134,-0.129,330.71,-0.153,-0.614,0.006,0.521,-0.476,16.66,-0.711,1.502,0.49,-0.987,1.207,0.585,-0.38,43.83,-0.857,-0.549,-0.373,-1.067,1.243,1.417,0.018,1
4346,"1987-08-22",8,0.055,-1.37,-1.03,0.057,-0.261,12.77,-0.153,-0.532,-0.12,0.668,-0.787,7.17,-0.711,1.834,1.162,-0.942,1.222,0.652,-1.227,40.36,-0.737,-0.561,-0.287,-1.136,1.21,1.392,3.179,1
4347,"1987-08-23",8,0.131,-1.455,-1.076,-0.331,0.091,270,0.299,-0.941,0.006,0.225,-1.407,26.95,-0.29,1.834,1.406,-1.145,1.195,0.381,-1.099,54.86,-0.467,-0.301,-0.425,-0.998,1.184,1.411,7.033,1
4348,"1987-08-24",8,-0.288,-1.399,-0.961,-0.176,0.928,64.9,0.299,-1.105,-0.057,0.078,-0.631,185.74,-0.29,1.541,0.673,-1.155,1.131,0.432,-0.726,43.38,-0.437,-0.213,-0.597,-0.836,1.256,1.398,0.115,1
4349,"1987-08-25",8,-0.503,-1.286,-0.892,-0.021,-0.173,56.08,0.299,-0.696,0.133,0.373,-1.097,27.74,-0.29,1.434,0.292,-1.038,1.077,0.59,-1.066,204.91,-0.557,-0.425,-0.76,-0.72,1.285,1.33,0.519,1
4353,"1987-08-29",8,-2.6,-0.015,-1.465,-3.903,7.314,210.79,3.013,2.005,-1.131,-2.874,6.086,207.64,2.236,-0.933,-3.297,1.463,0.487,-3.054,3.999,190.98,2.202,1.3,0.77,1.012,1.497,1.184,0.144,1
4354,"1987-08-30",8,-1.849,0.182,0.298,0.057,1.28,86.64,-0.153,2.905,3.166,0.004,1.901,89.3,0.131,0.08,-2.029,0.284,2.308,0.161,0.38,90.82,0.283,-0.301,-0.03,0.388,1.591,1.267,0.74,1
4355,"1987-08-31",8,-0.943,-1.173,-1.03,0.6,0.223,31.13,-0.605,-0.45,-0.436,0.742,1.487,340.46,-0.711,1.084,-0.457,-0.921,0.586,0.708,1.596,326.44,-0.737,-0.283,0.323,0.342,1.261,1.208,35.632,1
4356,"1987-09-01",9,-0.493,-1.229,-1.121,0.367,-0.217,336.83,-0.605,-0.123,-0.942,0.521,0.609,307.29,-0.29,1.405,0.2,-0.977,0.479,0.641,0.501,320.89,-0.587,0.142,0.77,-0.212,1.144,1.208,17.487,1
4357,"1987-09-02",9,-0.362,-1.173,-1.282,-0.176,-0.526,277.71,0.299,0.368,-1.51,0.299,-0.218,287.12,-0.29,1.551,0.475,-0.581,-0.02,0.371,0.101,285.91,-0.467,0.502,-0.055,0.203,1.355,1.229,7.508,1
4358,"1987-09-03",9,-0.591,-1.229,-1.236,-0.642,-0.394,245.09,0.752,-0.041,-1.258,-0.07,0.247,273.61,0.131,1.366,0.017,-0.57,-0.054,0.192,-0.061,277.41,-0.107,-0.035,-0.468,0.18,1.371,1.226,0.045,1
4361,"1987-09-06",9,-1.201,-1.286,-1.213,-0.487,-0.658,250.19,0.752,0.368,-1.51,-0.734,-0.942,248.79,0.973,0.684,-1.022,0.03,-0.439,-0.466,-0.088,253.35,0.913,0.816,0.237,0.734,1.305,1.102,37.305,1
4362,"1987-09-07",9,-1.223,-0.975,-1.442,-0.098,-1.803,276.47,0.299,1.677,-2.522,-0.66,-0.063,259.14,0.973,0.655,-1.235,1.26,-1.338,-0.676,0.269,256.4,1.063,0.018,0.623,0.365,1.23,1.062,8.135,1
4363,"1987-09-08",9,-1.417,-0.354,-1.923,0.678,-0.305,287.96,-1.058,2.987,-3.533,0.447,1.332,278.75,-0.29,0.499,-1.464,2.094,-2.001,0.09,1.549,271.16,0.073,-0.171,0.451,0.157,1.341,1.151,53.868,2
4364,"1987-09-09",9,-1.592,0.408,-2.381,2.076,1.368,298.14,-2.867,4.296,-4.038,2.292,1.901,298.57,-2.396,0.236,-1.77,2.455,-1.963,1.902,1.788,297.37,-1.787,0.632,0.357,0.203,1.323,1.123,136.444,2
4365,"1987-09-10",9,-1.425,-0.241,-1.648,2.464,1.06,323.21,-2.415,2.332,-2.016,2.44,1.177,320.45,-1.975,0.402,-1.449,0.767,-0.355,2.014,0.39,321.44,-1.397,0.828,0.134,-0.074,1.248,1.175,42.383,1
4366,"1987-09-11",9,-1.056,-0.919,-1.396,0.445,-0.834,300.68,-0.153,0.123,-1.068,0.668,-0.735,304.91,-0.29,0.957,-0.64,-0.896,0.262,0.442,0.316,299.23,-0.227,0.254,-0.416,-0.605,1.245,1.136,1.096,1
4367,"1987-09-12",9,-0.939,-1.032,-1.35,-1.03,-0.129,235.62,1.204,0.041,-1.068,-0.956,-0.321,231.89,1.394,0.918,-0.579,-0.575,0.06,-0.548,-0.094,239.87,0.793,-0.331,-0.459,1.312,1.338,1.018,0.123,1
4368,"1987-09-13",9,-1.037,-0.778,-0.824,-2.195,-0.129,159.75,2.561,0.45,-0.373,-1.841,0.97,180,1.815,0.674,-1.022,0.172,0.026,-1.533,0.138,213.49,1.603,-0.478,0.142,0.273,0.88,0.779,1.906,1
4370,"1987-09-15",9,-1.079,-0.665,-0.618,-2.117,1.192,142.5,2.109,0.614,-0.689,-1.915,1.28,198.41,1.815,0.226,-1.174,0.335,0.285,-1.916,0.8,199.65,2.022,-1.075,-0.107,0.088,0.853,0.804,2.2,1
4371,"1987-09-16",9,-0.582,-0.947,-0.663,-1.341,0.355,130.23,1.204,0.368,-0.31,-1.767,0.505,180,1.815,0.723,-0.502,0.512,0.209,-2.049,-0.078,200.81,2.082,-0.939,-0.236,-0.235,0.597,0.686,0.393,1
4376,"1987-09-21",9,0.387,-0.27,-0.068,0.756,-0.217,71.94,-0.605,-1.105,-0.247,0.078,-0.218,157.85,-0.29,1.035,1.131,-0.718,0.079,-0.252,-0.578,253.46,-0.017,1.548,-0.322,-0.028,0.551,0.703,0.617,1
4377,"1987-09-22",9,0.253,-0.326,-0.114,0.445,0.355,76.08,-0.605,-1.105,-0.31,-0.365,0.66,220.04,0.131,0.782,0.795,-0.896,0.262,-0.313,-0.612,243.39,0.283,1.406,0.546,0.019,0.346,0.589,11.477,1
4378,"1987-09-23",9,-0.065,-0.1,0.115,-0.176,1.456,88.3,0.299,-0.45,0.322,-0.808,1.177,139.81,0.552,0.421,0.261,-0.992,0.826,-0.655,-0.027,176.64,0.763,0.975,1.01,-0.351,0.252,0.526,49.124,1
4380,"1987-09-25",9,0.103,-0.382,-0.137,-0.021,0.047,84.67,-0.153,-0.859,-0.183,-0.586,0.35,178.7,0.552,1.015,0.521,-0.581,0.121,-0.563,-0.888,236.64,0.703,0.78,-1.354,-0.836,0.241,0.556,0.54,1
4381,"1987-09-26",9,0.543,-0.326,-0.068,-0.409,0.179,91.42,0.299,0.123,-1.068,-1.103,0.092,227.96,0.973,0.898,0.841,0.975,-0.98,-1.232,-0.444,241.78,1.183,1.909,0.641,-0.951,-0.084,0.369,15.888,1
4382,"1987-09-27",9,0.504,-0.467,-0.183,-0.564,0.267,94.94,0.752,0.45,-1.068,-1.398,-0.631,220.26,1.394,0.811,0.811,0.65,-0.808,-0.941,-0.515,245.69,1.033,1.052,-0.519,-1.921,-0.157,0.336,7.778,1
4383,"1987-09-28",9,0.338,-0.834,-0.526,-0.953,1.412,109.53,1.204,0.204,-1.068,-1.251,0.557,223.17,1.394,0.723,0.46,0.553,-0.637,-1.156,-0.582,238.72,1.183,0.183,-2.909,-0.998,-0.075,0.177,3.007,1
4387,"1987-10-02",10,-0.232,-0.552,-0.251,-0.098,0.663,84.54,-0.153,-0.614,-0.436,-0.808,0.04,203.16,0.973,0.431,0.001,-0.092,-0.226,-0.844,-0.152,237.68,0.913,0.432,-1.095,-0.005,0.334,0.528,0.049,1
4394,"1987-10-09",10,-0.059,-0.58,-0.274,-0.409,0.047,91.91,0.299,-0.941,-0.247,-0.586,-0.373,141.38,0.552,0.743,0.566,-0.972,0.266,-0.175,0.208,252.55,0.193,1.229,-0.055,-0.074,0.582,0.716,0.075,1
4395,"1987-10-10",10,-0.468,-0.467,-0.183,-0.72,0.928,97.33,0.752,-0.532,0.449,-0.513,0.247,118.66,0.131,0.314,-0.136,-1.43,0.944,-0.175,-0.266,146.3,0.223,0.786,-0.15,0.042,0.503,0.652,0.127,1
4396,"1987-10-11",10,-0.484,-0.975,-0.618,-0.564,0.047,98.02,0.752,-0.859,-0.057,-0.586,-0.063,175.04,0.552,0.47,-0.197,-1.028,0.403,-0.4,-0.074,230.17,0.583,-0.366,0.134,-0.212,0.507,0.727,0.647,1
4397,"1987-10-12",10,-0.1,-1.399,-1.007,-0.098,0.707,192.69,0.299,0.204,-1.321,-0.734,0.505,246.6,0.552,0.908,0.246,-0.143,-0.348,-0.313,-0.357,257.26,0.463,-0.673,-1.491,-1.136,0.295,0.714,0.038,1
4408,"1987-10-23",10,-0.224,0.013,-2.244,0.367,-0.746,278.96,-0.605,5.114,-5.176,0.816,-0.89,279.35,-0.711,0.889,0.078,3.497,-3.087,-0.084,-0.827,268.99,0.283,0.762,0.959,0.296,0.804,0.792,58.987,2
4409,"1987-10-24",10,-0.465,-0.015,-1.946,2.231,-0.482,310.69,-2.867,4.705,-4.165,2.735,-0.011,302.95,-3.238,0.791,-0.182,2.948,-2.527,1.131,0.611,286.78,-1.727,0.88,0.847,-0.166,0.819,0.809,242.126,2
4410,"1987-10-25",10,-0.365,-0.524,-1.236,2.231,-0.438,344.72,-2.867,2.659,-1.953,2.882,0.247,325.9,-2.817,0.733,0.276,0.914,-0.831,1.244,1.758,301.91,-1.547,1.182,-0.622,-0.697,0.992,0.986,17.249,1
4411,"1987-10-26",10,0.012,-0.862,-0.847,1.299,-0.702,19.34,-1.51,-0.123,-0.436,0.963,0.092,166.42,-0.711,0.908,0.612,-0.53,0.014,0.187,1.297,294.64,-0.047,1.43,-0.09,0.18,0.65,0.698,6.242,1
4412,"1987-10-27",10,0.358,-1.088,-0.778,0.367,-0.261,50.86,-0.605,-0.859,-0.499,0.152,-0.425,312.08,-0.29,1.21,1.192,-0.296,-0.26,-0.022,0.971,269.61,0.013,1.962,-0.03,0.896,0.711,0.639,3.325,1
4417,"1988-05-01",5,-0.396,0.097,0.252,0.057,0.399,85.45,-0.153,0.859,1.397,0.816,-0.166,62.06,-0.711,0.411,0.093,-0.728,1.386,0.687,-0.084,50.86,-0.857,0.449,0.134,0.734,0.558,0.448,0.018,1
4421,"1988-05-05",5,-0.615,-0.382,-0.114,-0.098,0.575,85.36,0.299,-0.368,0.512,0.299,0.299,64.12,-0.29,0.314,-0.365,-1.155,0.426,0.32,0.191,298.07,-0.347,1.418,0.237,1.127,0.589,0.364,2.982,1
4426,"1988-05-10",5,-0.428,-0.326,-0.068,-0.564,-0.878,93.57,0.299,0.777,1.523,-0.439,-1.355,97.24,0.552,1.035,-0.06,-1.048,0.3,0.121,-0.054,275.37,0.133,0.514,1.045,1.173,0.423,0.309,0.489,1
4427,"1988-05-11",5,-0.347,-0.382,-0.137,-0.642,-1.451,96.02,0.299,0.368,1.144,-0.513,-0.735,102.08,0.552,1.113,0.078,-0.804,0.113,-0.048,0.282,264.64,0.253,0.165,0.847,1.035,0.318,0.231,0.018,1
4428,"1988-05-12",5,0.164,-0.072,0.115,-0.797,-0.041,97.12,0.752,-0.614,-0.12,-0.808,-0.27,175.89,0.973,0.801,0.292,0.289,-0.561,-0.783,-0.733,245.3,0.823,1.123,0.073,-0.674,-0.4,0.047,0.302,1
4430,"1988-05-14",5,-0.206,0.041,0.184,0.911,-0.57,73.52,-1.058,0.286,1.017,0.447,-0.683,66.7,-0.29,0.967,0.276,-1.038,0.849,0.743,0.46,177.35,-0.677,0.189,0.709,-0.443,0.686,0.613,0.151,1
4431,"1988-05-15",5,0.148,-0.411,-0.183,0.445,0.223,75.22,-0.153,-0.205,0.322,0.742,-0.683,35.46,-0.711,1.113,0.795,-0.489,-0.081,0.417,-0.256,287.19,-0.497,1.678,1.045,1.127,0.484,0.458,1.303,1
4432,"1988-05-16",5,-0.091,-0.721,-0.412,0.29,0.091,73.79,-0.153,-0.532,0.322,0.373,-0.218,46.01,-0.29,0.986,0.643,-1.094,0.414,0.34,0.561,294.52,-0.347,1.743,0.839,1.335,0.831,0.598,1.722,1
4435,"1988-05-19",5,-0.76,-0.241,0.001,-0.098,0.443,86.51,0.299,1.432,1.965,0.668,-1.458,71.6,-1.132,0.704,-0.258,-0.372,1.542,0.922,0.037,47.95,-1.157,1.98,-0.33,0.157,1.1,0.952,0.234,1
4436,"1988-05-20",5,-1.254,-0.354,-0.137,-1.341,0.443,108.61,1.204,0.941,1.649,0.004,-0.321,86.41,0.131,0.489,-0.976,-1.333,1.009,0.202,0.635,89.45,-0.227,-0.124,-0.261,0.411,1.137,0.843,0.856,1
4438,"1988-05-22",5,-1.496,-0.241,-0.022,-0.254,0.399,88.75,0.299,1.35,1.965,0.225,1.022,81.88,0.131,0.158,-1.709,-1.119,0.872,-0.084,1.193,170.91,0.343,2.31,0.924,1.219,0.781,0.529,14.926,1
4439,"1988-05-23",5,-0.919,-0.439,-0.16,-0.409,-0.217,91.5,0.299,-0.287,0.638,0.225,0.712,70.28,-0.29,0.489,-1.098,-0.199,-0.34,0.09,0.259,271.73,-0.017,2.228,1.465,0.804,0.615,0.522,5.997,1
4440,"1988-05-24",5,-1.068,-0.411,-0.137,-0.176,-0.746,87.72,0.299,0.777,1.46,0.447,1.229,72.09,-0.29,0.84,-0.823,-1.318,0.769,0.458,1.657,335.52,-0.587,1.507,0.564,1.012,1.241,0.969,1.31,1
4441,"1988-05-25",5,-1.148,-0.185,0.046,-0.409,-0.438,91.28,0.299,0.286,1.081,-0.365,0.97,97.01,0.131,0.733,-0.945,-1.14,0.849,-0.502,0.914,174.16,0.283,1.619,0.125,1.543,1.078,0.798,10.894,1
4442,"1988-05-26",5,-1.145,-0.354,-0.091,-0.564,-0.129,93.64,0.752,-0.532,0.449,-0.365,0.867,104.37,0.131,0.704,-0.991,-0.753,0.304,-0.645,1.179,226.24,0.433,1.991,0.726,1.589,1.031,0.77,1.151,1
4443,"1988-05-27",5,-1.048,-0.439,-0.16,-0.642,0.047,95.51,0.752,-0.696,0.322,-0.513,0.609,124.25,0.552,0.558,-0.808,-0.835,0.315,-0.574,1.179,228.66,0.463,1.241,0.46,1.243,0.958,0.742,0.151,1
4446,"1988-05-30",5,-0.962,-1.144,-0.755,-0.72,-0.438,112.31,0.299,1.023,-1.953,0.594,0.454,290.51,-1.132,0.684,-0.823,1.138,-1.167,1.116,1.203,291.72,-1.157,0.568,1.208,0.18,0.953,0.886,0.446,1
4447,"1988-05-31",5,-1.458,-1.229,-1.03,0.367,-0.878,187.34,-1.058,0.286,-1.005,1.111,0.557,320.98,-1.132,0.743,-1.388,0.228,-0.237,1.387,1.828,310.32,-1.367,0.449,0.812,0.273,1.247,0.983,0.197,1
