"","Mslp","P5_f","P5_u","P5_v","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8th","P8zh","P500","P850","P_f","P_u","P_v","P_z","P_th","P_zh","R500","R850","Rhum","Shum","Temp","clazz"
"3741",-0.773,-0.806,-1.465,0.911,1.676,306.44,-1.058,0.123,-1.068,0.89,0.144,314.07,-1.132,0.655,-0.334,-0.642,0.445,1.029,0.057,333.47,-1.097,1.04,-0.597,-0.443,1.062,1.072,1
"3682",-0.691,-0.213,-0.022,0.833,0.047,70.84,-1.058,0.286,0.765,0.963,-0.115,44.79,-0.711,0.022,-0.808,-0.581,0.894,1.203,-0.017,186.06,-1.007,0.467,-0.769,-0.536,0.301,0.322,1
"60441",0.121,0.521,0.596,0.6,-0.834,80.39,-1.058,1.186,1.776,0.521,-0.425,74.14,-0.29,0.548,0.521,-1.104,0.765,0.56,0.88,161.76,-0.497,-0.331,0.382,0.109,-0.078,-0.231,1
"50651",1.194,1.791,1.649,0.29,1.28,86.17,-0.153,-0.859,0.196,-0.439,-0.218,128.35,0.552,-2.394,0.2,1.682,-1.521,-1.365,-0.037,245.54,1.303,-0.65,1.414,0.85,-1.398,-1.784,1
"4371",-0.667,-1.003,-1.305,0.678,0.179,317.65,-1.058,1.677,-2.332,1.037,0.454,295.53,-1.132,0.84,-0.182,0.838,-0.972,0.789,1.058,289.31,-0.827,1.761,-0.013,-0.12,1.279,1.164,1
"1662",-0.42,-0.467,-0.228,0.445,-1.01,73.57,-0.153,0.695,1.144,0.963,-0.321,55.55,-0.711,0.898,0.063,-0.957,0.795,0.82,0.907,175.5,-0.557,1.602,-0.133,0.827,0.852,0.634,1
"152",-0.335,-1.201,-1.007,0.523,-0.438,16.33,-0.605,0.368,-1.194,0.963,-0.218,312.71,-1.132,0.986,0.124,0.223,-0.534,0.769,0.501,292.72,-0.557,0.662,0.262,1.45,1.003,0.854,1
"1720",-0.84,-0.947,-0.847,1.144,0.179,21.15,-1.058,0.204,-0.436,1.259,-0.166,348.47,-1.553,0.275,-0.472,-0.403,0.331,1.228,0.706,330.98,-1.307,2.346,-1.112,-0.282,1.064,1.159,1
"2690",1.939,0.775,0.802,0.445,-1.671,82.56,-0.605,-0.532,-0.815,-0.439,-0.838,247.85,0.552,1.074,2.445,1.107,-1.288,-0.426,0.49,260.76,0.643,-1.116,0.873,-0.097,-0.776,-0.647,1
"1778",-0.206,-0.975,-1.213,0.989,-0.79,332.57,-1.058,-0.368,-0.247,0.816,-0.631,172.87,-0.711,1.21,0.566,-0.952,0.841,0.835,-0.205,183.94,-0.887,-0.154,-0.416,-0.651,0.96,1.159,1
"51251",1.297,1.17,1.146,-1.186,0.796,96.62,1.204,-0.859,0.259,-0.291,-0.063,105.31,0.131,-1.439,0.689,0.858,-1.087,-0.492,-0.478,257.5,0.553,0.839,1.362,0.226,-1.308,-1.482,1
"12631",1.323,1.283,1.214,0.057,0.267,87.29,0.299,-0.778,-0.563,-0.586,0.712,224.8,0.552,-0.689,1.086,2.551,-2.222,-1.38,0.85,250.67,1.153,-0.461,1.534,1.104,-1.025,-1.18,1
"46691",0.445,0.577,0.642,0.6,1.016,80.67,-0.605,0.45,0.259,-1.694,0.299,162.86,1.815,-1.43,-0.182,1.031,-0.389,-2.161,-0.676,215.24,2.472,-1.205,0.185,-0.582,-0.972,-1.008,1
"5454",0.468,0.972,0.985,0.29,0.399,84.89,-0.153,-0.532,0.322,-0.66,0.299,128.49,0.552,-2.267,-0.457,0.731,-0.885,-0.921,-0.78,246.86,0.853,1.3,1.225,0.111,-1.329,-1.411,1
"60531",0.296,0.295,0.39,0.833,0.047,76.29,-1.058,0.45,0.575,1.259,-0.321,32.37,-1.132,0.811,1.04,-0.636,1.092,1.091,0.269,20.01,-1.097,-0.915,-0.228,0.686,0.489,0.419,1
"5859",0.055,0.182,0.275,0.989,0.311,73.25,-1.058,1.023,1.523,0.963,-0.321,61.09,-0.711,-0.533,0.215,-0.819,1.001,0.937,1.304,20.69,-0.857,0.922,0.382,0.155,-0.117,-0.159,1
"3464",2.274,1.424,1.352,0.445,-1.318,84.25,-0.605,-0.696,-0.31,-0.734,-0.476,195.42,0.973,-0.894,1.757,1.997,-1.822,-1.201,-0.894,250.11,1.183,-0.549,0.881,-0.905,-1.632,-1.744,1
"3514",-1.029,-0.58,-0.297,0.29,0.663,76.07,-0.153,-0.123,0.575,0.668,0.144,47.92,-0.711,-0.29,-1.037,-1.221,0.696,0.544,0.299,342.8,-0.887,1.507,-0.193,0.504,0.707,0.636,1
"58681",0.198,0.493,0.596,-0.254,-0.658,89.65,0.752,-0.041,0.891,-0.291,-0.063,96.58,0.131,-0.611,-0.09,-0.428,-0.081,-0.39,-0.854,250.63,0.193,1.028,0.605,0.063,-0.881,-0.659,1
"1247",1.241,1.48,1.397,-0.875,-1.318,93.97,1.204,-1.105,-0.373,-0.365,-1.097,232.01,0.552,-1.176,0.963,0.868,-1.132,-0.14,-0.901,265.94,0.313,-0.053,-1.603,-1.806,-1.221,-0.953,1
"5504",-0.477,-0.411,-0.16,-0.797,0.267,98.53,0.752,0.368,1.207,-0.217,-0.063,91.55,0.131,0.119,-0.716,-1.404,0.719,0.355,-0.155,336.16,-0.467,0.278,0.194,-1.159,-0.392,-0.098,1
"2885",-0.574,-1.399,-1.121,-0.409,-0.526,252.31,0.299,-0.941,0.006,0.225,0.144,33.28,-0.29,1.015,-0.09,-1.491,0.822,0.284,0.574,158,-0.407,-0.413,0.641,-0.651,0.88,1.104,1
"20051",1.087,2.101,1.878,-1.807,-1.274,98.43,2.109,0.532,0.765,-1.472,-0.425,140.74,1.815,-1.585,0.108,0.629,-0.709,-1.079,-1.724,240.02,1.093,1.814,-0.364,-1.205,-1.649,-1.7,1
"3310",0.808,1.678,1.535,0.833,-0.658,82.27,-1.058,0.45,1.27,0.152,-0.115,81.02,-0.29,-1.147,0.46,-0.25,0.022,-1.002,0.427,224.51,1.063,-1.423,0.606,0.019,-1.141,-1.111,1
"5755",-0.42,-1.342,-0.938,-0.176,-0.217,213.1,-0.153,-0.368,0.449,0.521,-0.735,46.97,-0.711,1.278,0.307,-0.687,1.325,0.856,-0.921,38.61,-0.737,1.625,-0.692,0.248,1.28,1.125,1
"208",-0.904,-0.778,-0.48,0.445,0.399,65.93,-0.153,-0.368,-0.879,0.299,-0.58,297.59,-0.29,0.061,-0.793,-0.433,-0.096,0.519,0.117,290.93,-0.527,1.324,-0.967,0.781,0.682,0.539,1
"2378",-0.508,0.944,0.871,1.687,-0.35,72.49,-1.51,0.695,1.333,0.594,0.195,66.32,-0.29,-0.115,-0.365,-1.328,0.891,0.013,-0.024,123.98,0.103,1.714,0.409,0.873,0.509,0.442,1
"1990",-1.193,-1.229,-0.892,-0.176,1.809,86.5,0.299,0.695,-0.815,1.628,3.089,337.44,-1.553,0.168,-1.052,0.385,0.266,2.04,3.428,336.53,-1.547,0.573,0.675,0.504,1.056,0.91,1
"5467",-0.259,-1.173,-0.892,0.523,-0.614,26.66,-0.605,-0.041,-1.194,0.152,-0.373,284.6,-0.29,1.064,0.46,-0.398,-0.108,0.417,0.934,287.24,-0.197,0.845,-1,-0.028,0.991,1.053,1
"2017",-0.203,-1.144,-1.328,-0.487,-0.394,261.29,0.752,0.941,-1.953,-0.586,-0.115,257.84,0.973,0.957,0.063,1.041,-1.22,-0.548,0.232,257.75,0.853,-1.293,-0.047,0.042,0.41,0.469,1
"2676",0.004,-0.044,0.138,0.445,-0.834,78.96,-0.605,-0.123,-1.194,-0.144,0.609,269.24,0.131,0.109,0.124,1.082,-1.273,-0.395,0.958,261.48,0.553,-1.607,1.062,0.504,-0.038,-0.064,1
"244",-0.304,-0.778,-0.709,1.377,-0.834,30.98,-1.058,0.941,1.017,1.406,-1.045,42.52,-1.132,1.366,0.398,-0.098,1.664,1.223,-0.474,43.82,-1.367,-0.071,-0.193,0.319,1.069,1.006,1
"10751",1.303,0.662,0.71,0.833,0.84,78.72,-0.605,-0.45,-0.752,-0.734,0.402,231.7,0.973,-1.225,1.101,1.916,-1.757,-1.201,0.911,250.62,1.183,-0.555,1.294,1.058,-1.072,-1.263,1
"2490",-1.295,-1.116,-1.305,-0.797,0.84,243.95,0.752,-1.023,0.069,0.004,1.022,66.09,0.131,0.879,-0.991,-1.211,1.146,0.228,0.01,63.57,-0.257,-0.478,-0.175,0.342,1.665,1.296,1
"15811",0.371,-0.326,-0.16,1.066,-1.186,64.51,-1.058,-0.614,0.196,0.447,-0.373,37.77,-0.29,1.113,0.948,-0.54,-0.081,-0.007,0.443,269.66,0.193,0.165,1.199,1.566,0.337,0.222,1
"3195",-0.567,-1.314,-1.076,-0.875,0.619,202.8,0.752,-0.45,0.006,0.668,-0.115,16.87,-0.711,0.772,-0.029,-1.089,1.054,0.57,-0.851,25.62,-0.767,-0.384,-0.605,-1.182,0.929,1.267,1
"53701",1.297,0.21,0.344,-0.953,0.619,97.92,0.752,0.041,-1.258,-0.513,-0.011,254.79,0.552,0.002,1.788,0.965,-1.178,-0.4,0.625,261.19,0.253,-0.969,-0.683,-0.72,-0.502,-0.181,1
"369",-0.67,-0.298,-0.068,-0.797,1.148,98.62,0.752,-0.123,0.765,-0.365,1.539,102.65,0.131,-0.251,-0.777,-0.581,0.232,-0.813,1.106,219.93,0.403,0.727,0.142,1.635,0.008,-0.032,1
"6139",-1.716,-0.947,-0.778,0.911,-0.217,32.4,-1.058,2.168,0.765,2.882,1.332,20.36,-2.817,0.733,-1.77,0.746,1.611,2.275,0.675,25.59,-2.297,0.561,-0.168,-0.053,1.588,1.421,1
"5350",1.135,-0.919,-0.549,-0.642,-0.438,101.71,0.752,-0.287,-0.942,-0.586,0.092,245,0.552,0.898,1.483,0.416,-0.74,-0.543,-0.353,254.37,0.613,-1.163,0.22,-1.39,-0.509,-0.109,1
"23551",1.286,1.763,1.626,-0.254,-1.054,89.48,0.299,-0.778,0.259,-0.513,-0.373,126.44,0.552,-1.215,0.658,1.056,-1.163,-0.865,0.897,251.63,0.973,-0.23,1.122,0.665,-1.32,-1.532,1
"2869",-1.286,-1.088,-0.686,-0.176,-0.129,81.89,0.299,-0.696,0.259,-0.365,-0.787,115.05,0.552,0.762,-1.052,-1.16,0.868,-0.482,-0.565,169.2,0.523,0.987,0.564,0.226,1.358,1.259,1
"4866",1.887,2.186,1.97,-0.409,-1.01,90.46,0.752,-0.123,0.322,-1.177,0.247,153.57,1.394,-0.991,0.811,0.884,-0.732,-1.457,-1.724,232.19,1.363,-0.372,0.83,0.065,-1.631,-1.899,1
"36171",1.321,2.638,2.336,-0.72,0.355,91.84,0.752,0.041,0.385,-1.325,-0.011,150.71,1.394,-1.751,0.307,1.672,-1.296,-1.845,-1.187,235.85,1.872,-0.797,1.036,-0.328,-1.524,-1.787,1
"1176",-1.137,-1.06,-1.213,0.756,-1.274,330.71,-1.058,0.204,0.133,1.259,-2.285,14.79,-1.553,1.015,-0.716,-0.596,1.089,1.096,-1.005,19.77,-1.307,-0.136,-0.829,-0.143,1.407,1.309,1
"5367",1.056,-0.213,0.023,-0.021,-1.01,84.84,-0.153,-0.859,-0.499,-0.513,-0.838,227.92,0.552,0.752,1.666,0.284,-0.679,-0.298,-0.007,260.3,0.463,-0.65,-0.064,-0.051,-0.219,-0.034,1
"5785",-0.769,-0.749,-0.48,0.523,1.016,64.15,-0.605,0.695,1.081,1.037,0.97,51.9,-1.132,0.967,-0.243,-0.316,1.58,0.942,1.072,52.29,-1.037,1.323,-0.065,0.756,1.429,1.26,1
"1027",0.132,-0.411,-0.16,0.29,0.047,78.33,-0.153,-0.859,0.006,0.373,-0.063,22.8,-0.29,0.441,0.597,-1.155,0.761,0.631,-0.098,351.35,-0.647,0.136,-0.502,1.173,0.332,0.195,1
"3211",-0.773,-1.257,-0.824,-0.176,0.267,83.78,-0.153,1.596,1.776,1.406,-0.993,55.4,-1.553,0.889,-0.121,0.309,2.098,1.162,-0.209,56.83,-1.367,2.47,-0.562,-0.582,1.471,1.433,1
"877",-0.776,-0.834,-1.511,-1.186,-0.702,241.79,1.656,0.286,-1.384,-0.734,0.299,247.44,0.973,0.928,-0.502,-0.301,-0.233,-0.257,0.628,258.98,0.643,-1.406,-0.072,0.711,0.958,0.839,1
"63681",0.044,1.763,1.626,-0.797,0.179,92.84,0.752,-0.205,0.765,-0.365,0.557,101.13,0.131,-0.913,-0.365,1.087,-1.231,-0.461,2.013,260.92,0.283,0.354,1.182,1.633,-0.472,-0.716,1
"50021",0.889,-0.213,-0.045,0.911,-0.878,69.96,-1.058,-0.205,-1.131,-0.07,-0.166,274.11,0.131,0.519,1.345,1.224,-1.391,-0.272,1.112,264.23,0.433,0.278,1.354,0.088,-0.157,-0.083,1
"31831",-0.157,0.239,0.367,0.523,-0.482,79.78,-0.605,0.695,1.46,0.225,-0.321,78.39,-0.29,0.295,0.185,-1.14,1.035,0.565,0.45,33.09,-0.827,0.438,-0.21,0.896,0.277,0.195,1
"1660",-0.118,-0.467,-0.206,-0.021,0.619,84.26,-0.153,0.368,0.891,0.89,-1.303,48.22,-1.132,0.587,0.337,-0.789,0.651,0.937,-0.313,170.06,-1.157,2.145,0.701,0.642,0.63,0.553,1
"6330",-0.954,-0.947,-1.465,-0.021,1.06,281.76,-0.153,-0.205,-0.942,0.521,1.28,306.66,-0.711,0.616,-0.716,-0.799,0.353,0.749,1.29,314.26,-0.737,-0.272,0.631,0.733,1.109,0.977,1
"3344",-0.506,0.38,0.504,-0.254,0.707,90.01,0.752,0.204,0.575,-1.177,1.229,142.72,0.973,-0.066,-1.052,-0.281,0.026,-0.941,-1.466,226.99,0.703,0.656,-1.543,-2.083,-0.666,0.026,1
"3865",-0.396,-0.947,-0.595,-0.564,0.663,98.98,0.299,-0.778,-0.12,0.373,-0.683,169.25,-0.711,0.148,-0.35,-0.276,0.525,1.458,-0.283,345.34,-1.577,1.625,0.159,-0.051,0.284,0.356,1
"4076",-0.211,-0.157,0.023,0.6,0.355,75.52,-0.605,0.123,0.701,0.816,0.764,46.82,-0.711,0.07,0.108,-0.586,-0.047,-0.068,0.739,264.75,0.013,2.358,0.753,1.219,0.385,0.271,1
"62591",0.719,-0.298,-0.045,-0.797,-1.583,97.52,0.752,-0.368,-0.942,-0.439,-0.683,254.94,0.552,1.113,1.024,0.411,-0.797,0.116,-0.72,271.78,-0.107,-0.006,-0.254,-1.715,-0.234,0.275,1
"1437",0.151,-1.116,-0.824,0.445,-1.098,40.18,-0.605,-0.123,-0.626,0.963,-0.528,336.46,-1.132,1.035,0.887,-0.169,-0.252,0.697,0.343,294.91,-0.767,0.957,0.649,0.527,0.811,0.803,1
"14251",0.96,1.593,1.489,-0.254,0.179,89.47,0.299,-0.859,-0.057,-0.586,-0.787,168.68,0.552,-1.566,0.475,1.656,-1.643,-0.824,-0.377,255,0.973,-1.347,0.537,0.134,-1.217,-1.346,1
"1385",-0.431,-0.411,-0.16,-0.875,-0.746,100.05,1.204,-0.696,0.259,-0.586,0.299,128.93,0.552,-0.076,-0.533,-0.474,0.011,-0.63,0.662,237.37,0.433,-0.112,0.606,1.219,-0.129,-0.219,1
"3823",-0.37,-1.314,-1.19,-0.254,0.487,276.03,0.299,-0.041,-1.194,-0.439,-0.063,257.21,0.552,0.772,0.185,0.045,-0.458,-0.512,0.087,252.56,0.613,-0.071,-0.657,-0.166,1.033,1,1
"2751",1.541,2.214,1.993,0.367,2.954,86.02,-0.153,-0.041,0.638,-0.956,-0.166,129.45,0.973,-3.056,0.154,1.687,-1.388,-1.676,-1.59,239.2,1.633,0.231,0.581,-0.466,-1.72,-2.189,1
"45831",0.492,2.609,2.313,-0.176,0.752,89.22,0.299,0.204,0.449,-1.398,0.764,151.29,1.394,-2.706,-0.869,0.777,-0.645,-1.518,-1.163,231.08,1.543,1.442,0.847,-1.229,-1.695,-1.646,1
"42031",0.681,2.101,1.878,-1.729,0.972,98.03,1.656,-0.041,0.322,-1.251,0.454,153.05,1.394,-1.771,-0.35,1.717,-1.372,-1.758,-1.398,238.33,1.603,-1.122,0.495,0.18,-1.396,-1.522,1
"1780",0.03,-1.37,-1.053,0.057,-1.186,188.9,-0.153,-0.205,-0.436,0.89,-0.993,342.97,-1.132,1.463,0.979,-1.048,0.837,0.743,-0.4,182.5,-1.037,0.154,-0.708,-0.305,1.095,1.16,1
"1610",-0.481,-0.326,-0.068,-0.331,-0.482,89.49,0.299,-0.859,-0.373,-0.586,0.299,211.71,0.973,0.421,-0.502,-0.967,0.433,-0.507,-0.32,221.76,0.613,0.81,-1.431,-1.367,0.072,0.531,1
"11510",-0.108,-0.693,-0.412,0.29,-0.57,73.93,-0.153,-0.123,-0.247,1.037,-0.373,176.65,-1.132,0.558,0.307,-0.545,0.529,1.193,0.403,341.5,-1.127,1.111,-1.31,0.85,0.354,0.297,1
"3271",-0.647,-0.919,-1.076,1.299,-0.834,352.64,-1.058,0.45,-1.258,0.963,-0.631,307.83,-1.132,1.249,-0.09,-0.54,0.083,0.743,-0.152,304.66,-0.797,0.053,-0.391,0.85,1.23,0.992,1
"4056",-1.91,-1.032,-1.259,-1.03,3.834,251.75,0.752,0.941,-1.321,-1.694,4.071,226.6,1.394,0.041,-1.953,1.255,-0.416,-2.207,5.273,225.32,1.932,1.336,1.259,1.058,1.494,1.111,1
"20111",1.234,2.412,2.153,-1.341,0.047,95.18,1.204,0.45,1.081,-1.103,0.35,122.61,0.973,-2.238,0.124,0.579,-0.763,-0.926,-0.269,244.93,0.913,-1.246,0.271,-0.466,-1.662,-1.927,1
"4870",-0.465,-1.201,-1.213,0.29,0.223,315.61,-0.153,-0.696,-0.183,0.521,-0.373,3.99,-0.711,1.356,0.368,-1.074,0.807,0.703,-0.222,179.94,-0.587,-0.473,-1.061,-0.466,1.306,1.435,1
"974",0.283,0.775,0.779,0.911,0.135,78.43,-1.058,0.614,1.333,0.447,0.247,71.75,-0.29,-0.397,0.368,-0.865,0.247,-0.298,1.042,263.86,0.163,-0.738,0.718,1.15,-0.532,-0.671,1
"662",-1.247,-0.411,-1.923,0.134,0.179,278.42,-0.153,1.841,-2.648,0.447,0.712,281.2,-0.29,0.665,-0.976,0.411,-0.728,0.616,0.732,285.25,-0.437,0.189,-0.915,-0.466,1.391,1.372,1
"3438",0.569,1.001,0.939,1.454,-0.966,75.02,-1.51,-0.696,-0.12,-0.734,0.764,162.66,0.552,-0.446,0.46,1.224,-1.155,-1.329,0.961,243.41,1.543,0.26,1.053,0.804,-0.693,-0.886,1
"21521",0.118,0.436,0.504,0.756,-0.305,78.13,-1.058,-0.778,0.133,0.373,0.144,33.48,-0.29,-0.28,0.169,-0.067,-0.393,-0.201,1.542,265.52,0.163,1.761,0.821,0.919,-0.257,-0.329,1
"578",-1.222,-0.778,-0.457,-0.875,0.267,106.25,0.752,-0.614,0.322,-0.586,0.299,123.13,0.552,0.226,-1.235,-1.328,0.814,-0.206,-0.148,194.99,0.163,0.106,0.022,1.312,0.719,0.584,1
"1924",-0.782,-1.314,-1.076,-0.875,-0.085,196.01,0.752,-0.859,0.133,0.225,-0.89,66.09,-0.29,0.791,-0.105,-0.692,1.435,0.641,-0.256,52.03,-0.647,1.283,-1.19,-0.42,1.299,1.281,1
"12031",0.427,-0.015,0.184,-0.176,0.267,87.74,0.299,-0.45,0.322,-0.734,1.177,139.25,0.973,0.041,-0.182,-0.509,0.003,-0.487,-1.16,243.24,0.553,-0.449,-1.938,-1.598,-1.252,-0.916,1
"1286",1.075,0.097,0.252,-1.186,0.003,101.06,1.204,0.041,-1.258,0.373,0.144,292.31,-0.29,-1.03,0.887,1.29,-1.292,1.136,0.279,291.6,-0.947,-0.874,0.572,0.042,-0.912,-0.821,1
"858",-0.874,-1.257,-1.213,0.057,-0.173,301.2,-0.153,-0.859,-0.563,-0.291,-0.218,246.16,0.131,0.772,-0.655,-0.22,-0.26,-0.456,0.937,250.73,0.373,0.443,1.517,0.988,0.995,0.878,1
"14911",0.771,2.468,2.153,1.454,1.368,80.6,-1.51,0.041,0.891,-0.586,0.092,110.34,0.973,-2.9,-0.502,0.696,-0.473,-1.635,-0.175,223.8,1.722,-0.862,1.465,0.203,-1.549,-1.852,1
"2576",0.028,-0.495,-0.206,-0.098,0.972,85.92,-0.153,-0.941,0.069,0.225,0.764,42.19,-0.29,0.275,0.368,-0.56,-0.031,0.325,0.635,283.66,-0.437,1.43,0.306,0.411,0.158,0.187,1
"5902",-0.843,-0.467,-0.206,0.057,0.091,82.17,-0.153,-0.859,0.196,-0.144,1.797,94.2,0.131,0.655,-0.747,-0.794,0.296,-0.599,1.351,225.32,0.283,2.268,1.01,1.61,0.792,0.635,1
"2072",-0.155,-1.173,-1.121,0.367,-0.614,156.19,-0.153,-0.287,0.006,0.89,-1.097,190.54,-0.711,1.502,0.704,-0.875,1.012,0.871,-0.958,16.55,-0.917,0.024,-0.107,0.111,1.169,1.053,1
"4829",-1.514,-0.947,-0.595,-0.021,2.161,79.44,-0.153,0.041,-1.258,0.152,0.712,284.24,-0.29,-1.021,-2.09,0.055,-0.511,0.33,0.548,278.63,-0.137,2.322,-0.064,0.134,0.46,0.535,1
"1251",1.395,0.775,0.802,0.678,-0.35,81.09,-0.605,-0.859,-0.183,-0.586,-0.115,182.4,0.552,-0.494,0.841,2.261,-2.005,-1.283,-1.133,250,1.333,-0.685,1.543,1.289,-1.202,-1.441,1
"6028",0.071,-0.975,-0.595,-0.331,-0.57,89.68,0.299,-1.023,-0.499,-0.07,0.195,276.22,0.131,1.356,0.795,-0.225,-0.309,-0.15,0.477,262.78,0.073,0.644,-0.382,0.109,0.851,0.941,1
"3013",-1.7,-0.157,-1.946,1.687,0.796,303.46,-1.962,2.823,-1.068,3.547,1.384,344.37,-3.659,0.616,-1.754,1.301,0.521,3.071,1.247,352.01,-3.137,0.561,0.048,-0.097,1.509,1.395,1
"5452",-1.14,-1.032,-1.19,-1.496,-0.526,205.15,1.204,1.023,-1.637,-1.546,-0.373,230.39,1.394,0.567,-1.006,1.077,-0.904,-1.574,-0.165,234.98,1.633,0.254,-0.356,-0.235,1.157,1.112,1
"9281",0.322,0.605,0.642,0.911,-1.054,77.56,-1.058,0.859,1.523,0.447,-0.373,72.79,-0.29,-0.066,0.444,-0.687,0.06,-0.267,0.753,252.68,0.373,-0.827,1.096,1.52,-0.636,-0.789,1
"2047",-0.566,-0.298,-0.091,-1.341,-0.394,107.25,1.204,-0.041,0.133,-1.325,1.332,162.21,0.973,0.46,-0.502,-0.209,0.152,-1.201,0.672,215.55,0.853,1.784,0.933,1.404,0.441,0.326,1
"695",1.334,0.831,0.848,0.833,-0.438,79.87,-1.058,-0.45,-0.942,-0.291,-0.476,262.36,0.131,-0.631,1.269,1.794,-1.788,-0.589,0.191,259.92,0.733,1.111,1.105,-0.351,-0.806,-0.803,1
"11151",-0.229,1.311,1.237,0.678,1.192,82.81,-0.605,0.123,1.017,-0.217,0.35,91.64,0.131,-2.501,-0.93,-0.992,0.46,-0.533,0.138,217.15,0.373,0.898,0.048,0.942,-0.908,-0.977,1
"5336",-0.663,-0.298,-0.045,-0.021,-0.614,85.16,0.299,-0.368,0.575,-0.439,0.454,105.96,0.552,0.226,-1.083,-0.514,-0.05,-0.308,-0.8,251.89,0.403,0.75,0.478,-1.229,-0.545,-0.088,1
"2400",-0.041,-0.636,-0.343,-0.021,-0.526,82.16,0.299,-0.368,0.638,-0.217,-0.631,91.76,0.131,0.889,0.505,-1.414,0.578,0.09,-0.104,303.58,-0.197,-0.059,-0.141,0.85,0.254,0.252,1
"43801",1.088,0.549,0.642,-0.021,-0.173,87.13,-0.153,-1.187,-0.183,-0.365,-1.045,163.19,0.552,-0.436,1.131,-0.479,-0.081,-0.293,0.507,257.13,0.733,-0.738,-0.081,-0.559,-1.056,-0.936,1
"1042",0.113,-0.128,0.092,-0.021,0.047,85.04,-0.153,-0.859,0.006,0.299,0.04,28.5,-0.29,0.343,0.658,-0.672,0.026,-0.048,0.682,266.34,0.103,-0.094,0.151,1.497,0.232,0.07,1
"6173",-0.304,-1.173,-0.778,0.057,0.311,67.56,-0.153,-0.532,0.006,0.668,-0.27,14.64,-0.711,0.908,0.383,-0.947,1.1,0.713,-0.249,30.98,-0.707,1.713,-0.949,-0.838,1.059,1.332,1
"2060",-1.36,-0.185,-0.045,1.222,0.223,65.43,-1.058,2.086,2.092,1.554,1.022,57.13,-1.553,0.148,-1.388,-0.042,1.828,1.101,0.554,52.01,-1.097,2.452,0.443,0.504,1.191,0.97,1
"61051",0.427,0.126,0.298,-0.098,-0.394,87.45,0.299,-0.696,0.133,-0.734,0.557,149.21,0.552,0.821,0.857,0.146,-0.309,-1.104,1.425,231.62,1.093,-0.632,0.984,0.871,0.118,0.049,1
"35181",0.357,1.198,1.146,0.833,-0.041,80.91,-0.605,0.695,1.333,0.594,1.125,67.39,-0.711,-0.777,0.108,-0.459,-0.02,0.264,1.781,282.56,-0.377,0.857,1.276,1.612,-0.461,-0.613,1
"57951",-0.169,0.86,0.848,1.222,0.355,76.4,-1.51,-0.041,0.765,0.521,0.66,57.16,-0.29,-1.839,-0.945,-0.596,0.384,0.749,1.643,314.92,-0.587,1.63,0.365,-1.715,-0.885,-0.741,1
"16741",1.165,0.747,0.779,0.29,-0.482,84.02,-0.153,-0.205,0.765,-0.144,-0.476,90,0.131,-0.163,1.315,-0.077,-0.367,-0.487,0.191,251.62,0.403,-0.844,1.225,1.358,-0.849,-1.021,1
"2627",-1.135,-1.003,-0.641,0.212,-0.702,67.63,-0.153,-0.941,-0.183,0.299,0.247,185.17,-0.29,0.665,-1.052,-0.936,0.399,0.616,0.07,312.61,-0.407,0.881,0.581,0.734,1.21,1.037,1
"3619",0.014,-1.314,-1.053,0.212,0.091,176.43,-0.605,-0.368,-0.057,0.742,-0.58,187.74,-0.711,1.512,0.933,-1.023,0.932,0.713,-0.773,191.54,-0.887,-0.047,-0.631,-1.483,0.931,1.344,1
"1631",1.387,2.158,1.947,0.367,0.972,86.1,-0.153,-0.778,0.322,-0.217,-0.011,93.5,0.131,-1.547,0.597,0.721,-0.995,-0.456,-0.158,258.49,0.523,-1.152,0.95,-0.212,-1.383,-1.451,1
"2318",-1.156,-1.286,-1.053,-0.176,2.513,256.46,-0.153,-0.205,-0.057,-1.251,2.469,170.23,0.973,0.499,-1.022,-0.901,1.024,-0.737,1.048,158.5,0.433,0.508,-0.253,-0.097,1.095,1.101,1
"30281",-0.74,-0.354,-0.114,-1.03,0.443,103.04,0.752,0.532,-0.373,-1.841,3.089,184.22,1.815,0.538,-0.93,1.87,-0.736,-2.927,2.319,214.86,2.142,-1.341,1.062,1.473,-0.017,-0.017,1
"60241",0.081,2.384,2.107,0.833,0.663,83.92,-0.605,0.777,1.523,-0.439,0.04,98.37,0.552,-1.848,-0.854,0.462,-0.553,-1.171,-0.837,236.13,1.093,-0.437,1.448,1.194,-1.118,-1.288,1
"4145",-0.75,-0.919,-0.824,1.066,-1.23,18.7,-1.51,1.923,1.333,2.292,-1.717,34.98,-2.396,1.142,-0.105,0.629,1.698,2.06,-0.205,28.93,-2.267,1.247,-0.236,-0.559,1.33,1.279,1
"33781",-0.729,0.182,0.344,0.212,-0.261,83.51,-0.605,0.859,1.333,0.816,0.867,61.36,-1.132,-0.621,-0.976,-0.977,0.944,0.672,0.245,204.63,-1.097,0.922,0.684,0.596,0.205,0.152,1
"29601",0.289,0.464,0.573,-0.021,0.311,86.56,-0.153,1.35,1.902,0.299,-1.097,80.3,-0.29,-1.059,-0.014,-0.062,1.679,1.279,-0.646,43.29,-1.427,-1.093,-0.82,-1.69,-0.818,-0.594,1
