"","Mslp","P5_f","P5_u","P5_v","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8th","P8zh","P500","P850","P_f","P_u","P_v","P_z","P_th","P_zh","R500","R850","Rhum","Shum","Temp","clazz"
"19111",-0.206,0.069,0.184,0.911,-0.35,73.16,-0.605,0.368,1.207,0.152,-0.476,80.91,0.131,-0.494,-0.228,-0.499,-0.1,-0.155,0.104,261.66,0.283,-0.195,0.658,2.028,-0.341,-0.527,1
"12431",0.774,1.029,1.008,-0.098,-1.23,87.98,0.299,-0.941,0.133,0.078,0.35,59.92,-0.29,0.022,0.765,0.563,-0.904,0.08,0.403,271.25,-0.077,0.916,1.311,1.289,-0.366,-0.53,1
"310",-0.254,-0.608,-0.366,0.756,-1.23,64.97,-1.058,-0.778,-0.183,0.447,-0.735,179.19,-0.711,1.006,0.276,-1.089,0.647,0.636,-0.383,333.55,-0.797,0.201,-0.055,0.319,0.668,0.512,1
"51041",0.976,0.549,0.642,-0.331,-0.305,90.02,0.299,-0.368,0.638,0.152,-0.425,74.11,-0.29,-1.196,0.643,0.162,-0.595,0.202,0.803,275,-0.317,-1.205,0.821,0.988,-1.027,-1.103,1
"2323",0.001,-0.947,-1.442,-0.953,0.135,245.95,1.204,0.123,-1.321,-0.144,-0.683,272.28,0.131,1.113,0.918,-1.079,0.414,0.412,-0.417,307,-0.467,1.123,-0.21,-0.328,0.973,1.014,1
"3393",-0.768,-1.229,-0.801,-0.409,-1.054,92.52,0.299,-1.023,0.069,0.152,-0.89,23,-0.29,1.239,-0.121,-0.886,1.412,0.376,-0.992,64.38,-0.497,-1.541,-1.551,-1.182,1.276,1.356,1
"12981",0.415,2.214,1.97,0.756,1.368,83.86,-0.605,0.123,0.449,-1.325,1.435,148.98,1.394,-2.91,-0.854,2.307,-1.578,-2.447,1.411,231.92,1.962,-0.189,1.362,1.912,-1.389,-1.833,1
"4142",-0.599,-1.003,-1.328,0.6,-0.261,316.6,-0.605,0.859,-1.51,1.185,-0.89,312.55,-1.132,1.074,0.124,-0.209,0.003,1.131,-0.289,315.27,-1.157,0.686,-1.267,-0.605,1.317,1.233,1
"41551",1.578,1.368,1.306,0.057,-0.261,87.08,-0.153,-1.105,-0.183,-0.439,0.04,155.62,0.552,-0.163,1.589,0.736,-1.026,-0.242,0.477,263.96,0.283,-0.709,-0.021,-0.49,-0.834,-0.73,1
"2558",0.976,3.202,2.794,-0.331,0.972,90,0.299,-0.041,0.449,-1.177,0.97,144.76,1.394,-2.521,-0.136,0.914,-0.888,-1.339,-0.488,238.7,1.483,-1.252,0.658,-1.021,-1.716,-1.816,1
"36581",0.832,1.904,1.741,-0.797,1.764,92.96,0.752,-0.859,0.069,-0.586,0.247,151.12,0.552,-1.537,0.215,1.687,-1.544,-1.319,0.759,246.35,1.273,-1.205,0.967,0.711,-1.373,-1.56,1
"3871",-0.142,-0.721,-0.389,-0.098,-0.79,84.64,-0.153,0.041,0.891,0.373,-0.373,67.69,-0.29,0.976,0.444,-1.247,1.062,0.376,-0.01,48.32,-0.557,-0.697,-0.622,0.249,0.559,0.581,1
"1489",-0.8,-0.382,-0.114,0.212,0.003,79.61,-0.153,0.368,1.144,0.299,0.712,74.74,-0.29,0.217,-0.731,-1.516,0.959,0.141,0.443,77.4,-0.107,0.892,0.856,0.873,0.533,0.367,1
"5071",0.477,1.96,1.741,1.454,1.676,79.2,-1.51,-0.368,0.133,-0.956,0.867,155.65,0.973,-2.706,-0.655,1.728,-1.026,-2.381,0.117,224.83,2.262,-0.915,1.07,1.081,-1.351,-1.613,1
"6122",-1.854,-1.286,-0.938,-0.797,0.972,145.69,0.752,0.45,0.891,-1.251,0.299,132.08,0.973,0.119,-2.075,-0.881,1.165,-0.686,-0.175,146.8,0.853,2.026,0.915,-0.099,1.418,1.319,1
"5352",-1.31,-0.495,-0.228,0.29,-0.394,76.76,-0.605,0.041,0.638,0.742,1.229,47.27,-1.132,0.635,-1.235,-1.328,0.75,0.105,2.104,116.86,-0.407,0.455,0.495,1.15,1.152,0.886,1
"5882",-0.429,-0.834,-0.526,0.367,0.311,66.69,-0.153,-0.205,0.259,0.816,0.144,27.17,-0.711,0.577,0.001,-0.733,0.315,0.703,1.092,311.76,-0.677,-1.063,-0.125,0.086,0.8,0.838,1
"1759",-1.151,-0.411,-1.213,-3.282,-0.394,189.55,3.013,2.086,-1.321,-3.022,-1.045,204.37,2.657,0.441,-0.991,0.365,-0.024,-1.748,-0.353,212.62,1.692,0.366,-0.494,0.319,1.121,1.128,1
"4032",0.148,-1.314,-0.938,-0.797,-1.142,147.89,1.204,-0.041,-1.068,-0.882,-0.787,232.43,1.394,0.937,0.353,0.604,-0.831,-0.747,-1.183,250.04,1.003,-1.642,0.031,0.273,0.083,0.223,1
"3591",1.955,0.493,0.596,0.057,0.003,85.83,0.299,0.941,-1.89,-0.882,-0.631,249.7,0.973,-0.183,1.803,2.094,-1.917,-1.125,-1.348,252.11,1.333,-1.429,0.503,-0.582,-1.021,-0.978,1
