"","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8zh","P850","P_f","P_u","P_v","P_z","Rhum","Shum","clazz"
"1905",-0.57,54.87,-0.605,1.186,1.27,1.48,-0.683,-1.553,-0.655,-0.225,1.603,1.147,-0.313,0.388,1.462,1
"4312",-0.702,79.36,-0.605,-0.45,0.385,-0.66,0.97,0.552,0.49,1.916,-1.506,-1.865,-0.239,0.342,-1.497,1
"5650",1.941,92.37,0.752,-0.696,0.322,-0.439,2.056,0.552,-0.991,1.28,-1.304,-0.997,2.605,1.982,-1.097,1
"3539",0.575,224.1,0.752,-0.532,-0.626,-0.734,0.144,0.552,-1.037,-1.277,0.578,-0.303,-0.074,-0.582,1.105,1
"2047",2.337,96.88,0.299,1.514,1.839,0.742,2.624,-0.711,-2.472,0.457,2.277,0.738,1.579,0.504,1.675,1
"5440",-0.922,90.81,0.752,0.123,0.954,-0.07,-0.373,0.131,0.353,0.985,-0.995,-1.176,-1.815,0.203,-1.537,1
"5453",1.897,104.29,2.109,-0.368,0.069,-1.029,-0.115,0.973,-0.258,0.863,-1.007,-0.859,-0.79,-0.767,-1.632,1
"2911",-0.658,90,-0.153,0.45,1.081,0.668,-0.373,-0.711,0.444,-0.382,1.763,0.575,-0.266,-0.143,1.373,1
"5375",-0.966,67.21,-1.058,-0.205,0.449,0.742,-0.89,-0.711,0.185,-1.277,0.856,0.514,-0.125,1.473,0.221,1
"7122",-0.041,81.07,-0.153,-0.041,0.828,0.225,0.505,-0.29,-0.67,-1.297,0.544,0.299,-0.276,0.088,-0.218,1
"2377",1.016,221.82,3.466,2.414,-1.826,-3.022,1.694,2.657,-2.533,0.635,0.011,-2.085,0.427,0.688,1.479,1
"372",0.399,295.2,-0.153,-0.287,-0.247,0.89,1.074,-0.711,-0.716,-0.657,0.178,0.498,1.479,0.781,0.858,1
"3241",-0.79,338.22,-0.605,-0.45,0.196,0.594,-0.89,-0.711,0.414,-0.952,1.1,0.657,-0.686,-0.513,1.515,1
"1035",-0.35,316.69,-0.153,0.123,0.322,1.111,-1.045,-1.132,-0.105,-0.855,1.172,0.759,-0.441,-0.351,1.277,1
"3422",0.267,259.66,0.299,-0.696,-0.12,0.521,-0.218,-0.711,0.215,-0.881,1.108,0.789,-0.262,-1.182,1.315,1
"3877",4.583,212.95,2.561,0.532,-0.31,-1.767,5.725,1.394,-3.22,1.051,0.993,-2.733,4.396,0.479,1.542,1
"6707",-0.746,82.79,-0.153,-0.368,0.259,-0.882,0.402,0.973,0.918,1.194,-0.725,-2.023,-0.293,0.965,-1.154,1
"4190",0.003,78.98,0.299,-0.041,0.765,0.373,-0.166,-0.29,0.169,-1.236,0.616,0.432,0.974,2.211,1.048,1
"1084",0.84,64.13,-0.605,-0.205,-0.247,0.963,1.332,-1.132,-0.166,-0.387,0.243,1.07,1.432,0.758,1.053,1
"4246",-0.878,185.97,-2.867,2.414,0.006,3.251,-1.045,-3.238,-0.166,0.446,0.929,2.214,-0.636,-0.654,1.418,1
"4274",-0.526,317.25,0.299,0.695,-1.826,-0.586,0.35,0.552,1.055,1.229,-1.296,-0.895,-0.313,-0.585,0.415,1
"852",0.003,163.19,0.752,0.204,-1.384,-0.513,-0.27,0.552,1.391,0.873,-1.037,-0.803,0.195,0.388,0.461,1
"5891",1.412,86.81,-0.153,0.286,0.891,-1.177,-0.373,0.973,0.231,0.914,-0.835,-1.324,-1.567,-1.159,-1.461,1
