"","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8zh","P850","P_f","P_u","P_v","P_z","Rhum","Shum","clazz"
"4577",-0.217,93.61,0.752,-0.287,0.701,-0.144,-0.166,0.131,0.139,-0.606,0.018,-0.349,-0.293,-0.143,-0.586,1
"4967",0.267,87.74,0.299,-0.45,0.322,-0.734,1.177,0.973,-0.182,-0.509,0.003,-0.487,-1.16,-1.598,-1.252,1
"4886",-0.922,83.7,-0.153,-0.287,-0.436,-1.103,-0.218,0.973,1.574,2.633,-2.172,-1.763,-0.669,0.457,-1.518,1
"1931",0.531,333.22,-1.51,1.432,-0.373,2.366,0.764,-1.975,-1.922,0.289,0.552,2.045,0.443,0.065,1.314,1
"1016",-0.394,81.25,-0.153,0.777,1.207,1.037,0.144,-1.132,-1.831,-0.453,1.454,1.029,0.326,0.088,1.223,1
"1699",-0.129,311.03,-0.153,-0.614,-0.373,0.373,-0.735,-0.29,-0.457,-1.44,0.849,0.355,0.067,-0.905,1.085,1
"5763",0.84,93.1,0.752,-0.532,0.449,-0.365,-0.735,0.552,0.2,0.69,-0.965,-0.135,-1.94,-1.113,-1.419,1
"3192",0.267,318.62,-1.058,0.859,-1.194,1.554,0.299,-1.553,-1.128,-0.138,0.102,1.31,0.88,0.504,1.031,1
"134",6.345,118.52,2.561,7.324,5.125,-4.351,10.375,3.499,-5.083,6.486,5.394,-4.877,5.898,1.081,1.498,1
"3598",0.619,84.26,0.752,0.941,-1.321,-1.767,-0.063,2.236,-0.411,1.372,-1.033,-1.855,-0.478,-0.49,-0.335,1
"7336",-0.614,100.68,1.656,-0.941,0.133,-0.291,-0.89,0.131,0.719,-0.362,-0.207,0.003,0.558,-0.212,-0.226,1
"3649",-0.041,20.99,-0.605,1.105,0.512,1.997,-1.51,-1.975,0.383,-0.296,1.268,1.33,-0.777,-0.235,1.218,1
"3911",-1.451,84.92,0.299,-1.105,-0.247,-0.291,-0.166,0.131,0.689,-0.265,-0.256,-0.329,-0.383,0.086,0.06,1
"6887",0.003,71.6,-0.605,-0.859,-0.057,0.373,-0.58,-0.711,1.009,-0.021,-0.405,0.59,0.181,0.342,-0.433,1
"6409",-0.041,91.02,0.299,0.532,1.27,0.299,0.04,-0.29,-0.533,-0.83,0.136,-0.027,0.003,0.942,-0.502,1
"1082",-1.054,102.01,0.299,0.859,-1.89,0.373,-0.631,-0.29,-0.487,0.736,-1.018,0.304,0.309,0.758,0.77,1
"7749",-0.085,91.32,0.299,0.204,-1.384,0.299,-0.425,-0.29,0.872,1.783,-1.803,0.524,-0.108,-1.555,-0.138,1
"5582",-1.362,79.31,-0.153,0.123,0.954,0.225,-0.838,-0.29,0.108,-1.46,0.75,0.315,-0.252,0.804,-0.369,1
"3616",0.355,79.15,0.299,-0.287,0.385,0.521,-0.115,-0.711,0.46,-0.931,0.99,0.805,-0.256,1.15,0.822,1
"7815",0.531,87.82,0.299,-1.023,0.133,-0.217,0.144,0.131,0.566,0.401,-0.69,-0.65,0.121,1.61,-0.283,1
"2318",0.091,86.09,0.299,1.759,2.218,0.225,0.247,-0.29,-0.884,-0.326,1.74,0.646,0.383,-0.235,1.008,1
"4484",-0.041,85.93,-0.153,-0.859,0.133,-0.513,-1.045,0.552,0.536,0.441,-0.572,-1.125,0.185,-0.282,-0.886,1
"2786",-0.305,171.82,0.299,-0.778,-0.626,-0.291,-0.373,0.131,-0.35,-1.424,0.624,0.019,-0.659,-0.605,0.944,1
"7119",-1.01,77.44,-1.058,1.023,1.586,0.447,0.454,-0.29,-0.64,-1.038,0.445,-0.461,0.877,1.45,-0.428,1
"6369",-0.261,81.16,-1.058,-0.368,0.449,-0.734,0.97,0.552,-0.762,1.555,-1.304,-1.62,-0.071,1.196,-1.432,1
"3024",0.355,37.61,-0.605,0.204,0.512,1.037,0.815,-1.132,-0.304,-0.896,1.199,0.595,0.46,-0.582,1.317,1
"7734",-0.79,68.62,-1.058,-0.859,-0.563,-0.291,0.764,0.131,0.811,0.238,-0.557,-0.706,0.494,0.802,0.461,1
"5956",1.148,89.77,0.299,0.368,0.701,-1.398,0.144,1.394,-0.136,0.96,-0.736,-1.651,-0.629,-0.028,-1.425,1
"1572",-0.526,3.59,-1.51,0.368,-1.51,0.152,0.867,-0.29,0.643,0.497,-0.835,-0.14,1.754,1.312,0.76,1
"1250",-0.173,56.09,-1.51,2.086,1.965,1.775,-0.425,-1.553,-0.823,-0.037,1.782,1.157,0.131,-0.074,1.054,1
"5519",0.663,75.57,-1.51,-1.023,0.133,-0.217,-0.218,0.131,-0.136,0.65,-0.843,-0.859,-0.01,0.249,-0.788,1
"4769",0.663,97.56,0.752,-0.205,0.701,-0.513,-0.528,0.552,0.215,-0.372,-0.119,-0.507,0.148,0.896,-0.482,1
"1004",-1.23,182.08,-0.153,0.041,0.638,0.742,-0.942,-0.711,0.536,-0.921,1.104,0.784,-0.518,0.711,1.217,1
"504",-0.834,82.34,-0.153,-0.941,0.133,-0.365,0.919,0.552,0.093,-1.135,0.449,-0.252,1.153,1.196,0.73,1
"5170",0.84,103.62,1.204,-0.123,0.385,-1.177,0.402,0.973,-0.273,0.309,-0.29,-1.304,-0.434,0.965,-0.78,1
"2181",-0.35,280.48,0.299,-0.041,-1.194,0.225,-0.373,-0.29,1.024,-0.738,0.171,0.565,0.003,-0.559,0.972,1
"5703",1.104,78.94,-1.058,-0.614,0.196,-0.66,-0.631,0.552,0.551,0.157,-0.408,-0.921,-0.817,-1.367,-1.083,1
"7914",-0.041,78.83,-1.058,-0.941,0.133,0.078,0.867,-0.29,0.719,0.009,-0.485,0.182,-0.034,0.178,-0.324,1
"7200",1.368,91.06,0.299,-0.368,0.259,-0.956,1.177,0.973,-0.976,1.504,-1.509,-0.895,0.121,0.734,-1.367,1
"1526",0.135,334.07,-1.51,0.695,-0.942,1.48,0.144,-1.553,-1.617,-0.479,0.254,1.05,0.561,-0.466,1.322,1
"6572",-1.098,67.92,-1.51,-0.532,0.512,-0.291,0.299,0.131,0.078,0.202,-0.226,-1.268,-0.683,1.335,-0.382,1
"5051",-1.407,101.52,1.656,-0.859,-0.31,-0.586,-0.321,0.552,0.963,0.945,-1.144,-0.456,1.892,0.665,-1.094,1
"2918",0.135,124.64,0.299,-0.45,-0.752,0.373,0.867,-0.29,0.398,-0.723,0.186,0.478,0.988,0.249,1.128,1
"6682",-1.803,83.95,-0.605,0.532,1.333,-0.07,-0.58,0.131,0.887,-0.387,-0.096,-0.553,-0.797,-0.143,-0.849,1
"944",-0.35,280.82,-0.153,2.25,-2.964,0.594,1.746,-0.711,-1.846,1.265,-1.384,0.391,1.415,0.619,1.346,1
"4292",0.619,77.72,-1.058,0.286,0.891,0.742,-0.011,-0.711,-0.212,-0.85,1.161,0.825,0.571,0.665,-0.312,1
"4797",-1.054,77.56,-1.058,0.859,1.523,0.447,-0.373,-0.29,0.444,-0.687,0.06,-0.267,0.753,1.52,-0.636,1
"1324",-1.539,81.57,-0.153,0.777,1.523,0.373,0.35,-0.29,-0.441,-1.363,0.883,0.223,1.169,0.734,0.471,1
"5422",-0.394,71.24,-1.058,-0.859,-0.499,0.152,-0.735,-0.29,2.109,-0.245,-0.268,0.197,0.326,0.919,-0.147,1
"5866",-0.526,86.58,-0.153,0.45,1.27,-0.144,0.144,0.131,-0.976,-0.377,-0.165,0.422,0.154,1.219,-0.482,1
"888",-0.966,76.99,-0.153,0.286,0.891,0.742,0.247,-0.711,-1.312,-0.886,1.218,0.708,0.548,1.196,1.251,1
"7085",0.796,77.26,-1.51,0.204,1.017,-0.586,1.125,0.552,-0.548,0.518,-0.58,-1.222,0.292,0.758,-1.182,1
"3897",-0.57,39.37,-0.605,0.45,0.512,1.332,-0.063,-1.132,-0.304,-0.819,1.104,0.897,1.257,0.155,1.156,1
"6890",-0.614,74.95,-1.058,-0.532,0.449,-0.439,0.144,0.552,0.108,1.209,-1.178,-1.232,0.685,1.219,-0.978,1
"4043",-0.129,82.36,-0.153,0.45,-1.447,-1.029,-0.011,0.973,0.658,0.645,-0.866,-0.742,-0.464,-2.085,0.062,1
"6175",-0.658,82.27,-1.058,0.45,1.27,0.152,-0.115,-0.29,0.46,-0.25,0.022,-1.002,0.427,0.019,-1.141,1
"2357",3.042,323.9,-1.962,1.923,-0.31,2.882,3.864,-2.817,-2.151,0.868,0.712,2.668,2.305,0.873,1.443,1
"307",-0.482,49.46,-0.605,0.614,0.891,1.111,-0.425,-1.132,-0.487,-0.377,1.523,1.034,-0.871,0.088,1.008,1
"7523",-0.526,32.8,-1.51,1.514,-2.206,1.111,-0.166,-1.132,-0.35,1.356,-1.254,1.427,0.813,0.642,0.791,1
"2153",-0.085,335.29,-1.058,-0.041,-1.068,0.521,-0.321,-0.29,-0.487,-1.155,0.441,0.335,0.104,-0.836,1.138,1
"549",-0.394,86.46,0.299,1.514,1.965,0.668,-0.063,-0.711,-0.319,-0.779,1.409,0.611,1.028,0.596,0.968,1
"4020",-0.702,87.82,0.299,-0.778,0.069,-0.586,-0.115,0.552,0.337,-1.241,0.555,-0.283,-0.363,-2.177,0.534,1
"6346",0.399,81.88,-0.153,0.695,-1.763,-0.66,-0.115,0.973,1.742,1.707,-1.715,-0.655,-0.044,-0.074,-0.752,1
"5727",-1.23,90.67,0.299,0.204,0.322,-1.472,-0.58,1.815,1.483,1.494,-1.418,-1.156,-1.19,-0.605,-1.57,1
"7099",-0.482,77.01,-1.058,1.35,1.902,0.373,0.712,-0.29,-0.289,-1.038,0.746,-0.334,1.052,1.058,-0.504,1
"7188",-0.57,87.4,0.299,-0.123,0.765,-0.586,-0.89,0.552,0.872,0.472,-0.835,-0.119,0.595,0.203,-1.344,1
"5960",1.016,86.08,-0.153,-0.205,-0.689,-1.103,0.092,0.973,1.116,2.17,-1.978,-1.145,-0.652,0.48,-1.419,1
"2500",0.091,107.16,0.752,0.204,-1.131,-1.177,0.35,0.973,0.231,0.701,-0.774,-1.15,-0.518,-0.166,0.142,1
"2210",-1.495,60.7,-0.605,-0.041,0.322,0.816,-1.717,-1.132,0.215,-0.326,0.59,1.438,-0.145,1.243,0.943,1
"1411",1.72,279.05,-0.153,2.659,-3.09,1.259,2.417,-1.132,-1.663,1.672,-1.582,1.147,1.606,0.873,1.34,1
"7147",-0.746,83.4,0.299,0.859,-1.447,-1.546,-0.528,1.815,0.673,2.536,-2.012,-1.916,-1.617,-0.005,-1.113,1
"2222",0.972,109.01,0.752,0.204,-1.384,0.225,0.247,-0.29,0.78,-0.169,-0.344,0.32,0.013,0.55,0.63,1
"7701",1.06,91.5,0.752,0.041,0.954,-0.07,0.712,0.131,-0.38,0.024,-0.492,-0.226,-0.417,-0.423,-0.863,1
"7477",-0.173,90,0.299,-0.532,0.133,-0.808,-0.166,0.973,1.452,1.077,-1.163,-0.895,-0.632,0.088,-1.552,1
"5455",0.047,98.93,1.656,-0.368,0.575,-0.586,-0.115,0.552,0.139,-0.006,-0.317,-0.783,-0.115,0.804,-1.002,1
"2748",0.047,89.98,0.299,0.123,-1.321,0.299,0.195,-0.29,-1.296,0.289,-0.553,0.937,-0.034,-1.067,0.435,1
"5632",0.487,82.74,-0.605,-0.45,-0.942,-0.439,-0.115,0.552,1.04,1.977,-1.955,-0.334,-0.276,0.48,-1.406,1
"1675",-0.526,275.75,0.299,-0.123,-1.068,0.373,-0.063,-0.711,-1.174,-0.881,0.353,0.59,0.948,0.734,1.212,1
"4408",0.399,85.35,-0.153,-0.205,0.701,0.299,0.66,-0.29,0.383,-0.037,-0.424,-0.272,1.334,1.381,-0.778,1
"7933",0.223,59.44,-1.058,-0.368,-0.942,0.152,0.454,-0.29,-0.136,0.543,-0.858,-0.39,1.19,1.31,0.645,1
"5636",-0.261,76.88,-1.962,-0.614,0.385,-0.439,-0.373,0.131,0.398,-0.057,-0.218,-0.916,1.052,0.711,-0.907,1
"7051",-1.847,86.43,-0.153,0.941,1.207,-1.398,0.919,1.394,-0.228,2.256,-1.148,-2.927,-1.587,1.566,-1.583,1
"3831",1.632,108.95,0.752,-0.205,0.701,0.225,1.229,-0.29,-0.64,-0.947,1.302,0.458,0.672,1.218,1.002,1
"7833",-0.922,82.43,-0.153,-0.45,-0.815,-0.66,-0.373,0.552,1.421,1.489,-1.468,-0.997,-1.644,-1.139,-0.448,1
"1902",-0.878,66.67,-0.605,1.35,1.523,1.259,0.402,-1.132,-0.686,-0.504,1.519,0.856,1.556,0.688,1.45,1
"6463",-1.495,78.17,-0.605,-0.041,-0.815,-1.177,-0.063,0.973,1.284,1.372,-1.148,-1.635,0.232,0.388,-0.742,1
"5961",1.192,90.3,0.299,-0.532,0.385,-0.513,-0.58,0.552,1.269,-0.006,-0.405,-0.548,0.027,-1.252,-1.389,1
"1993",0.091,93.63,0.299,-0.45,0.512,0.152,-0.425,0.131,-1.617,-1.567,0.814,0.223,-0.094,1.035,1.164,1
"1091",-0.746,80.72,-0.153,-0.205,-0.942,-0.882,0.144,0.973,0.963,1.224,-1.3,-0.854,-0.397,-0.513,-0.405,1
"2360",1.544,28.91,-1.962,3.887,2.155,3.694,2.159,-3.238,-1.159,2.119,2.407,3.219,0.43,-0.744,1.371,1
"7247",-0.79,78.39,-1.058,-0.696,-0.563,-0.586,-0.218,0.552,1.589,2.322,-1.951,-1.594,-0.938,1.035,-0.966,1
"673",-0.746,319.48,-0.153,-0.45,-0.31,0.742,-0.942,-0.711,-0.136,-0.921,0.86,0.805,-0.888,-1.413,1.041,1
"453",0.003,178.54,-0.605,-0.041,-0.12,1.111,-0.683,-1.132,-0.808,-0.845,0.891,0.891,-0.064,-0.235,0.92,1
"1404",-0.129,212.86,1.656,1.35,-1.194,-2.358,-0.321,1.815,-0.899,0.07,0.144,-1.543,-0.377,0.18,1.196,1
"3029",-0.482,90,-0.153,-0.778,0.196,-0.365,-1.355,0.131,0.704,-1.257,1.169,0.202,-0.42,-0.235,1.166,1
"2325",0.663,101.63,0.752,-0.123,-1.131,-0.586,1.125,0.131,-1.052,0.716,-1.01,-0.237,0.527,1.543,0.524,1
"4018",0.663,86.64,0.299,-0.532,-0.12,-0.956,1.901,0.973,-0.487,0.096,0.555,-1.753,1.556,0.594,1.403,1
"5278",0.487,55.02,-1.51,0.45,-0.057,1.48,-0.89,-1.553,0.475,-0.352,0.738,1.443,0.39,1.035,0.505,1
"1003",-1.054,35.48,-0.153,0.204,0.575,0.963,-1.148,-1.132,0.811,-0.779,1.218,0.856,-0.175,0.411,1.182,1
"1969",0.531,82.23,0.299,1.186,-1.89,-1.398,0.402,1.815,0.612,1.036,-0.942,-1.452,0.114,-0.028,0.318,1
"1481",0.003,78.6,-0.605,0.204,1.017,0.152,0.919,-0.29,-1.831,-1.343,1.119,0.116,0.413,0.758,0.691,1
"7799",0.135,84.9,-0.153,-0.041,0.891,-0.513,1.332,0.552,-1.266,-0.174,0.014,-1.064,1.926,0.409,-0.343,1
"5451",-0.57,85.03,-0.605,1.596,2.092,-0.808,0.402,0.973,-0.869,-0.006,0.327,-1.467,-1.029,-0.374,-1.194,1
"3536",-1.318,335.19,-1.962,1.023,-0.057,1.997,-1.303,-2.396,-0.396,-0.23,1.237,1.448,0.131,-0.582,1.484,1
"2180",0.311,277.24,0.299,-0.123,-1.194,-0.07,-0.011,0.131,0.994,-0.591,-0.016,0.33,0.265,-0.466,0.924,1
"4315",0.663,77.32,-1.058,-0.941,-0.057,-0.439,1.229,0.552,0.322,1.555,-1.403,-1.39,2.376,1.312,-0.908,1
"7545",-1.054,88.87,-0.153,0.123,0.449,-1.251,0.144,1.394,0.032,2.017,-1.468,-2.115,-1.109,0.249,-0.984,1
"4364",0.928,81.97,-0.605,-0.041,-0.879,-1.103,-0.27,1.394,0.337,1.458,-1.346,-1.304,-0.921,-1.344,-1.212,1
"5525",-0.305,78.13,-1.058,-0.778,0.133,0.373,0.144,-0.29,0.169,-0.067,-0.393,-0.201,1.542,0.919,-0.257,1
"4592",-1.451,85.26,-0.153,-0.45,0.575,-0.144,-0.735,0.131,1.254,-0.367,-0.188,-0.242,0.326,-0.351,-1.107,1
"5617",-1.274,79.25,-1.058,-0.041,-0.942,-1.103,0.35,0.973,0.628,2.404,-1.936,-1.87,-0.383,1.312,-0.814,1
"1196",-0.438,55.64,-0.605,0.695,-1.826,-0.291,0.454,0.131,-0.289,1.667,-1.723,-0.313,1.142,0.919,0.544,1
"4269",-0.173,245.16,0.752,-0.041,-1.258,0.152,-0.218,-0.29,0.124,-0.143,-0.378,0.167,-0.182,-1.047,0.527,1
"6836",-0.79,74.04,-1.058,-0.123,-1.131,-0.439,-0.993,0.552,1.315,1.412,-1.479,-0.625,-1.55,-0.836,-1.07,1
"2207",1.236,120.83,0.752,0.286,-1.447,-0.439,0.609,0.552,-0.594,0.858,-1.064,-0.574,0.877,0.919,0.439,1
"7127",0.267,99.38,1.656,-0.041,-0.499,-1.325,-0.373,1.394,-0.289,0.263,-0.614,-0.523,-1.214,-3.446,-1.451,1
"4123",0.047,251.34,0.299,-0.041,-1.068,-0.734,-0.218,0.552,-2.09,-0.957,0.346,-0.42,0.316,-0.469,1.151,1
"242",-1.142,72.03,-1.51,0.368,1.207,0.078,0.505,-0.29,0.017,0.157,-0.595,-0.196,0.074,1.473,-0.557,1
"2504",-0.526,89.48,0.299,-0.859,-0.563,0.078,0.609,-0.29,0.719,0.289,-0.671,0.478,-0.195,0.942,0.104,1
"2961",-0.878,93.57,0.299,0.777,1.523,-0.439,-1.355,0.552,-0.06,-1.048,0.3,0.121,-0.054,1.173,0.423,1
"3299",0.267,73.9,-0.605,-0.205,0.638,0.299,1.229,-0.29,-0.365,-0.347,-0.168,-0.426,1.425,1.543,0.055,1
"7949",-0.438,84.22,-0.153,-1.187,-0.12,-0.291,-0.58,0.131,0.383,0.624,-0.881,-0.64,-0.165,-1.023,-0.536,1
"7142",-0.878,75.31,-0.605,-0.041,-1.258,-0.217,-0.166,0.552,1.712,0.94,-1.178,-0.257,0.38,-0.143,-0.279,1
"7578",0.179,77.97,-1.058,-0.45,0.449,-0.513,1.642,0.552,-0.625,0.69,-0.626,-1.441,1.153,1.264,-0.727,1
"7130",1.764,94.39,0.752,0.041,0.891,0.078,0.35,-0.29,0.047,-1.333,0.757,0.335,-0.562,-0.097,-0.06,1
"2499",-0.922,99.8,0.299,0.859,-1.89,-0.808,-0.218,0.552,0.169,0.665,-0.873,-0.783,0.037,0.988,0.592,1
"154",1.06,98,1.204,-0.614,-0.689,-0.586,1.177,0.552,-0.136,0.162,-0.527,-0.604,0.158,0.85,0.231,1
"3529",-0.702,283.38,-0.153,-0.368,-0.247,0.816,-0.735,-0.711,0.612,-0.982,1.054,0.728,-0.4,-1.044,1.335,1
"1424",-0.658,322.97,-1.058,-0.041,-0.626,0.963,-1.097,-1.132,0.795,-0.692,0.929,1.091,-0.215,-0.282,0.996,1
"3925",-0.217,83.03,-0.153,0.368,-1.384,-1.029,-0.321,0.973,1.666,1.977,-1.837,-1.064,-1.516,-0.63,-0.657,1
"5429",-1.01,86.76,-0.153,-0.041,0.828,-0.66,-0.425,0.552,0.215,0.05,-0.287,-0.941,-0.309,0.457,-0.962,1
"7604",0.355,85.78,-0.153,0.45,1.27,0.225,0.35,-0.29,-0.411,-1.008,0.388,0.463,1.079,-0.237,-0.457,1
"3903",-0.217,115.13,0.752,-1.023,0.133,0.004,0.144,0.131,0.597,-1.338,1.047,0.253,-0.451,0.04,1.015,1
"3938",-0.614,84.71,0.299,-0.123,0.385,0.816,-0.683,-0.711,0.536,-0.87,1.146,0.81,0.312,-0.146,1.026,1
"5802",-1.274,67.02,-0.605,-0.041,-1.258,-0.217,-0.425,0.131,1.483,0.665,-0.984,-0.063,-0.071,0.527,0.012,1
"6259",-0.658,85.24,-0.153,-0.614,0.385,-0.513,-0.166,0.552,1.574,0.091,-0.408,-0.676,0.998,-0.744,-1.115,1
"7804",-0.261,80.32,-1.058,1.268,1.839,-0.513,-0.063,0.552,-1.449,0.329,-0.275,-1.375,-1.267,-0.307,-0.965,1
"6827",0.884,80.72,-0.153,-0.041,0.765,0.447,-0.115,-0.711,-0.06,-1.191,0.833,0.565,0.722,0.781,0.209,1
"2316",0.663,76.66,-1.51,0.532,1.207,-0.808,2.676,0.552,-1.266,0.055,0.555,-1.702,1.331,1.658,0.172,1
"2103",0.091,91.47,0.299,-0.941,0.006,-0.217,2.004,0.131,-1.373,-0.926,0.342,-0.456,2.06,2.097,0.655,1
"5046",0.003,99.61,0.752,-0.614,0.322,0.004,-1.148,-0.29,-0.563,-1.058,0.323,0.136,-1.032,0.134,-0.699,1
"1976",-0.746,57.67,-1.962,0.859,1.207,1.111,0.144,-1.132,-0.609,-0.936,1.07,0.784,0.477,0.642,0.71,1
"822",-0.526,275.01,0.299,0.777,-1.7,0.816,-0.373,-0.711,-0.762,-0.072,-0.222,0.978,-0.283,-0.143,1.266,1
"573",-0.438,16.84,-0.605,1.268,1.333,1.554,-0.373,-1.553,-0.426,0.304,1.98,1.366,-0.602,-0.42,1.126,1
"5388",-1.495,312.51,-1.962,3.396,-3.47,1.701,-0.166,-1.975,-1.22,2.089,-1.929,0.851,0.574,1.589,0.852,1
"2115",0.135,59.4,-1.51,0.532,1.017,0.89,0.299,-0.711,-0.441,-1.216,0.422,0.09,0.074,1.612,0.552,1
"3954",0.663,83.13,-0.153,-0.859,0.259,-0.217,1.332,0.131,-0.334,-0.764,0.411,-0.711,0.574,0.479,0.68,1
"4575",-1.01,94.65,0.752,-1.023,-0.057,0.225,-0.115,-0.29,0.231,0.279,-0.622,0.626,0.662,-0.951,-0.838,1
"3546",-1.23,235.86,0.752,-1.023,-0.373,0.152,-0.58,0.131,-1.632,-1.465,0.696,0.151,0.064,-0.928,1.344,1
"3099",-0.305,289.47,-0.153,-0.614,0.069,0.521,-1.303,-0.711,0.765,-1.114,1.024,0.56,-0.928,-0.767,1.286,1
"2225",-0.217,116.94,0.299,-0.368,0.322,0.594,-0.735,-0.711,0.597,-0.967,1.195,0.646,-0.501,0.85,1.335,1
"4751",0.399,84.62,-0.153,0.204,1.081,0.152,0.092,-0.29,-0.487,0.345,-0.641,-0.686,0.104,1.219,-0.77,1
"4564",-0.394,81.88,-0.153,-0.696,-0.689,-0.439,-0.58,0.552,1.101,1.072,-1.273,-0.339,-0.783,-0.42,-0.845,1
"6468",0.443,72.62,-0.605,-0.041,-1.258,-0.07,-0.683,0.131,0.887,1.112,-1.315,-0.17,-0.904,-1.459,-1.054,1
"4100",-0.305,142.94,1.204,-0.614,0.322,-0.513,0.04,0.552,-0.64,-1.191,1.15,-0.206,-0.195,-0.076,1.17,1
"5580",-1.186,83.2,-0.153,0.45,1.144,0.594,-0.942,-0.29,0.75,-1.302,0.59,0.192,0.238,1.727,-0.362,1
"4738",0.796,63.93,-2.415,-0.532,-0.436,0.594,-0.115,-0.711,0.719,0.091,-0.378,0.937,0.248,-1.205,-1.17,1
"2713",0.135,108.4,1.204,-0.041,-0.626,-1.251,0.402,0.973,-0.029,0.675,-0.595,-1.477,0.685,0.365,0.472,1
"2015",-0.041,297.2,-0.605,2.168,-1.131,2.956,2.211,-3.238,-1.006,1.168,0.35,2.903,1.626,0.873,1.323,1
"1042",-0.041,138.26,1.656,-0.205,0.701,-0.586,0.454,0.552,-1.602,-1.089,1.237,-0.303,0.154,-0.282,1.041,1
"3210",-0.614,77.3,-0.605,-0.941,-0.247,0.299,-0.063,-0.29,0.994,-0.459,-0.096,0.253,1.163,1.15,0.326,1
"2834",-0.041,59.87,-0.153,-0.205,-1.131,-0.291,0.247,0.131,0.108,0.36,-0.683,-0.512,0.679,0.734,0.538,1
"4901",-1.098,85.64,-0.153,-0.205,0.765,-0.144,-0.425,0.131,0.337,-0.647,0.155,0.682,-0.246,-2.314,-1.34,1
"7787",-0.79,87.43,-0.153,0.777,1.523,0.373,-0.735,-0.29,-0.411,-1.257,1.009,0.473,-0.051,0.178,-0.268,1
"7746",-1.23,91.26,0.299,-0.205,-1.068,-0.513,0.35,0.552,0.689,2.099,-1.989,-0.803,-1.173,-0.029,-0.262,1
"4690",-0.966,71.52,-1.962,-0.941,0.133,0.078,-0.425,0.131,0.444,0.528,-0.835,-0.482,0.386,0.804,-0.876,1
"1189",-0.702,189.63,-1.51,0.368,0.322,1.332,-1.407,-1.553,-0.472,-0.764,0.925,0.978,-0.555,0.18,0.809,1
"692",0.267,162.14,0.752,-0.859,-0.183,-0.07,-0.218,0.131,-1.648,-1.302,0.559,0.223,0.043,-0.212,1.151,1
"1183",-0.35,106.13,0.752,-0.614,-0.247,-0.882,-0.425,0.973,-1.602,-0.581,0.117,-0.65,0.255,-0.374,0.737,1
"7950",0.003,90.51,0.299,-0.859,-0.499,-0.439,-0.89,0.552,0.765,0.792,-1.071,-0.221,0.006,-0.884,-0.584,1
"6767",3.042,91.11,0.752,-0.532,0.385,-0.586,-0.321,0.552,0.536,0.553,-0.763,-0.742,-1.432,-2.106,-1.503,1
"4420",0.487,102.47,1.204,-0.041,0.765,0.447,-0.942,-0.711,-0.396,-1.043,0.628,0.652,0.107,0.896,-0.558,1
"193",5.2,236.52,4.37,5.769,-4.607,-3.76,6.086,3.499,-4.274,4.361,-2.671,-3.616,3.888,0.457,1.806,1
"4410",-0.35,88.34,0.299,-0.696,0.196,-0.586,-0.063,0.552,0.444,0.523,-0.789,-0.686,-0.659,-0.513,-1.181,1
"2609",-0.305,95.55,0.299,-0.941,-0.499,-0.439,-0.063,0.552,0.826,-0.194,-0.34,-0.068,0.148,0.18,0.733,1
"5148",-0.305,79.04,-0.605,-0.696,0.006,0.447,-1.045,-0.711,0.826,-0.703,0.772,1.075,-0.588,-1.136,-0.841,1
"5646",-0.217,96.73,1.204,-0.287,0.133,-1.103,0.609,0.973,-0.731,1.672,-1.536,-1.263,0.037,0.665,-1.476,1
"4637",0.003,93.3,0.752,-0.532,0.196,-0.808,0.04,0.973,-0.014,1.24,-1.365,-0.543,-1.15,-0.143,-1.402,1
"3122",0.487,337.56,-0.605,-0.368,-0.689,0.521,0.35,-0.711,-0.899,-0.886,0.285,0.529,0.279,-0.628,1.287,1
"1141",-0.085,348.72,-0.153,0.368,0.701,1.037,-0.218,-1.132,-0.823,-0.265,1.759,0.8,-0.625,-0.282,1.077,1
"1144",-0.129,282.65,-0.153,-0.941,-0.373,0.152,-0.58,-0.29,-0.06,-1.374,0.906,0.315,-0.914,-0.905,1.062,1
"6313",1.5,75.68,-1.058,0.859,1.523,0.373,-0.011,-0.711,0.169,-1.47,0.708,0.269,-0.595,1.751,-0.205,1
"5082",-1.979,81.45,-0.605,-0.287,-1.068,-0.291,0.04,0.552,1.421,1.168,-1.288,-0.717,0.181,-0.097,-0.58,1
"5945",-0.658,82.61,-0.605,-1.35,-0.12,-0.07,-0.838,0.131,0.948,0.284,-0.656,-0.323,0.743,0.342,-0.735,1
"3804",-0.085,65.68,-0.605,0.941,-2.016,-0.144,0.454,0.131,0.337,0.66,-0.965,0.294,0.874,0.642,0.644,1
"301",-0.746,72.12,-1.058,1.186,1.523,1.111,0.04,-1.132,-0.793,-0.53,1.489,0.876,-0.464,-0.259,0.931,1
"723",-0.746,81.86,-0.153,0.204,0.322,-1.472,-0.683,1.394,-0.93,-0.372,0.132,-0.946,-0.195,-2.245,0.067,1
"1633",-0.702,65.83,-0.605,1.923,2.029,1.406,0.195,-1.553,-0.64,0.39,2.19,1.101,0.359,0.388,1.269,1
"5205",1.28,74.2,-1.962,-1.023,0.133,-0.07,-0.373,0.131,0.948,1.438,-1.551,-0.344,-0.588,-0.582,-1.406,1
"1948",0.575,262.82,0.299,-0.123,-1.005,-0.808,-0.373,0.552,-0.319,-1.13,0.392,-0.165,-0.346,-1.39,0.696,1
